receptor.complex.myeloma	Info ICR:	receptor.complex.healthy	Info ICR:
ADCY7	Associated with CD300A pathways in AML: https://www.oncotarget.com/article/24164/text/	ADCY7	
ADGRE5	also called CD97, with it’s ligand is reported to inhibit NK cells cytotoxicity: https://doi.org/10.4049/jimmunol.149.6.2055 is overexpressed on resting NK cells: https://www.nature.com/articles/s41598-022-05259-y	ADGRE5	
ADGRG1	inhibitory receptor in NK cells: https://doi.org/10.1016/j.celrep.2016.04.053	ADGRG1	
ADRB2	important for NK proliferation: https://doi.org/10.1084/jem.20190549	ADRB2	
APLP2	Interacts with MHC-I: https://www.genecards.org/cgi-bin/carddisp.pl?gene=APLP2	APLP2	
BTN3A2	BTN3A2 stimulation decreases the NKp30-induced IFN-γ productio: https://doi.org/10.1002/eji.201141404	ATP5F1B	
BTN3A3	NA	BTN3A2	
C1QBP	NA	BTN3A3	
CAP1	NA	C1QBP	
CD2	Activating receptor: https://link.springer.com/chapter/10.1007/3-540-27743-9_5	CANX	
CD226	DNAM-1 activating receptor: https://doi.org/10.1158/0008-5472.CAN-06-4230	CAP1	
CD244	Activating or inhibitory, check co-expression SHP1/SHP2, EAT2 and SAP?:https://www.frontiersin.org/articles/10.3389/fimmu.2018.02809/full	CD2	
CD247	TCR-Z	CD226	
CD44	Activating receptor: https://doi.org/10.1182/blood.V90.2.716	CD244	
CD47	Immune checkpoint: https://doi.org/10.1084/jem.20200839	CD247	
CD53	Reduce cytotoxicity: https://doi.org/10.1371/journal.pone.0097844	CD44	
CD63	NA	CD44_CD74	
CD69	Activation marker: about:blank	CD47	
CD7	Stimulatory receptor, However, CD7 on NK cells did not seem to transduce a lytic signal: https://doi.org/10.4049/jimmunol.152.2.517	CD53	
CD81	Seems to be stimulatory for NK recruitment but inhibit cytotoxicity, recruitment: https://onlinelibrary.wiley.com/doi/pdf/10.1002/eji.200939234, cytotoxicity: https://doi.org/10.1084%2Fjem.20011124	CD63	
