"","source","target","ligand.complex","receptor.complex","aggregate_rank","mean_rank","natmi.edge_specificity","natmi.rank","connectome.weight_sc","connectome.rank","logfc.logfc_comb","logfc.rank","sca.LRscore","sca.rank","cellphonedb.pvalue","cellphonedb.rank"
"1","Megakaryocyte progenitors","Late erythroid progenitor","PF4","ACKR1",2.8468966208204e-10,8932.4,0.257187414827874,4,5.39554579479477,17,3.6160473988083,15,0.952410750897536,15679,0,28947
"2","Megakaryocyte progenitors","Late erythroid progenitor","PPBP","ACKR1",1.89833213548374e-09,8618.4,0.243384929072619,7,5.21352893618936,32,4.03486762400969,1,0.955248123651776,14105,0,28947
"3","Megakaryocyte progenitors","Aberrant erythroid","PPBP","ACKR1",3.70721247375975e-09,8953.4,0.212486892781701,12,5.07472565152819,40,3.80445931407535,5,0.952254875632712,15763,0,28947
"4","Megakaryocyte progenitors","Aberrant erythroid","PF4","ACKR1",6.40525540638205e-09,9315.4,0.224537134848755,9,5.25674251013361,25,3.38563908887396,48,0.949237808921501,17548,0,28947
"5","Myelocytes","Non-classical monocytes","S100A8","CD68",7.46164755532273e-09,5955.4,0.049732760014876,396,3.02648243844701,310,3.72859179392229,8,0.984960994086997,116,0,28947
"6","Classical Monocytes","Non-classical monocytes","S100A8","CD68",1.21086933479664e-08,5990.2,0.046392609440487,447,2.90871094805729,369,3.73614998395614,7,0.984437296706516,181,0,28947
"7","Myelocytes","Non-classical monocytes","S100A9","CD68",1.33440849995461e-08,5979.2,0.0456132703519595,458,2.93388089508632,355,3.52509064947145,22,0.984972801097146,114,0,28947
"8","Classical Monocytes","Non-classical monocytes","S100A9","CD68",1.3935820122833e-08,5979.4,0.0452834365574178,463,2.92181122863353,364,3.91717179977219,2,0.984918996962195,121,0,28947
"9","Megakaryocyte progenitors","Classical Monocytes","PF4","LRP1",1.74143420219146e-08,7336.6,0.112517970042596,67,5.2518532593085,27,3.81170955121187,4,0.96699220935755,7638,0,28947
"10","Megakaryocyte progenitors","Megakaryocyte progenitors","CXCL12","ITGB3",2.4423712375765e-08,9896.4,0.128510478969424,45,4.73067539014109,75,3.59145053782671,17,0.944210532855698,20398,0,28947
"11","Megakaryocyte progenitors","Plasmacytoid dendritic cells","PF4","CXCR3",5.12032804606181e-08,8272.4,0.0953509096874565,96,5.21827076478423,31,3.61645096611839,14,0.958610085565023,12274,0,28947
"12","Myelocytes","Classical Monocytes","S100A8","CD68",6.43421419860931e-08,6162.8,0.0357005620609984,679,2.56648252760789,628,3.45019909214938,34,0.982297808793446,526,0,28947
"13","Megakaryocyte progenitors","NK T cells","CXCL12","ITGB3",7.08859374739847e-08,10288.4,0.114199484213599,61,4.42076988167377,107,3.27424988695637,70,0.941018126709189,22257,0,28947
"14","Non-classical monocytes","Classical Monocytes","SERPINA1","LRP1",7.10216846241185e-08,8046.4,0.0735980079646234,168,2.56319764167074,634,2.22628426600713,569,0.962964752693795,9914,0,28947
"15","Myelocytes","Classical Monocytes","S100A9","CD36",1.15428661095524e-07,6244.2,0.039818370740927,574,2.42335161048286,786,3.01790436354564,129,0.981034425989415,785,0,28947
"16","Classical Monocytes","Classical Monocytes","S100A8","CD68",1.16016224815934e-07,6233.2,0.0333028416682757,787,2.44871103721817,764,3.45775728218323,33,0.981683096989201,635,0,28947
