cell,condition,proportions
B cell,health,9.734513274336283
B cell,health,9.375
B cell,health,0.3147953830010493
B cell,health,0.5079006772009029
B cell,health,3.3378979801437865
B cell,health,9.640496533935194
B cell,health,20.89924025407896
B cell,health,14.982578397212542
B cell,health,21.27852501133444
B cell,health,13.799657859722487
B cell,health,4.368533420922976
B cell,health,1.993014177111157
B cell,health,8.942115768463074
B cell,health,10.940963127140842
B cell,health,1.4293721973094171
B cell,health,6.862745098039216
B cell,health,6.988540296825099
B cell,health,8.556547619047619
B cell,health,4.689312344656172
B cell,health,7.452798940046374
B cell,health,11.08695652173913
B cell,health,3.4698795180722892
B cell,health,6.157804459691253
B cell,health,12.627669452181985
B cell,health,6.776622445320904
B cell,health,13.442737430167599
B cell,health,11.085814360770579
B cell,health,14.540389972144846
B cell,health,8.488063660477453
B cell,SMM,3.503308680420397
B cell,SMM,8.061807188444742
B cell,SMM,
B cell,SMM,
B cell,SMM,
B cell,SMM,
B cell,SMM,
B cell,SMM,
B cell,SMM,
B cell,SMM,
B cell,SMM,
B cell,SMM,
B cell,SMM,
B cell,SMM,
B cell,SMM,
B cell,SMM,
B cell,SMM,
B cell,SMM,
B cell,SMM,
B cell,SMM,
B cell,SMM,
B cell,SMM,
B cell,SMM,
B cell,SMM,
B cell,SMM,
B cell,SMM,
B cell,SMM,
B cell,SMM,
B cell,SMM,
B cell,PMM,2.4861147844485587
B cell,PMM,11.040805785123966
B cell,PMM,2.626756261453879
B cell,PMM,3.533731069297843
B cell,PMM,4.120970422067132
B cell,PMM,0.2717391304347826
B cell,PMM,9.213375030069763
B cell,PMM,16.283586921333765
B cell,PMM,1.2042818911685995
B cell,PMM,7.8641141141141135
B cell,PMM,2.2866978116547823
B cell,PMM,
B cell,PMM,
B cell,PMM,
B cell,PMM,
B cell,PMM,
B cell,PMM,
B cell,PMM,
B cell,PMM,
B cell,PMM,
B cell,PMM,
B cell,PMM,
B cell,PMM,
B cell,PMM,
B cell,PMM,
B cell,PMM,
B cell,PMM,
B cell,PMM,
B cell,PMM,
B cell,RRMM,5.578981511514758
B cell,RRMM,0.1487652484379649
B cell,RRMM,10.616929698708752
B cell,RRMM,3.15377532228361
B cell,RRMM,0.03189792663476874
B cell,RRMM,13.544219202494986
B cell,RRMM,0.4480286738351254
B cell,RRMM,
B cell,RRMM,
B cell,RRMM,
B cell,RRMM,
B cell,RRMM,
B cell,RRMM,
B cell,RRMM,
B cell,RRMM,
B cell,RRMM,
B cell,RRMM,
B cell,RRMM,
B cell,RRMM,
B cell,RRMM,
B cell,RRMM,
B cell,RRMM,
B cell,RRMM,
B cell,RRMM,
B cell,RRMM,
B cell,RRMM,
B cell,RRMM,
B cell,RRMM,
B cell,RRMM,
Megakaryocytes,health,0.8849557522123894
Megakaryocytes,health,0.78125
Megakaryocytes,health,2.378454004896817
Megakaryocytes,health,3.0474040632054176
Megakaryocytes,health,0.42793563847997257
Megakaryocytes,health,0.3869095598903756
Megakaryocytes,health,0.06227425582264292
Megakaryocytes,health,
Megakaryocytes,health,0.06045035514583648
Megakaryocytes,health,0.2090857251473104
Megakaryocytes,health,0.6076531450156019
Megakaryocytes,health,0.20546537908362442
Megakaryocytes,health,0.3193612774451098
Megakaryocytes,health,0.18134193028410237
Megakaryocytes,health,0.11210762331838565
Megakaryocytes,health,0.22467320261437906
Megakaryocytes,health,0.187863986473793
Megakaryocytes,health,0.2976190476190476
Megakaryocytes,health,0.2651201325600663
Megakaryocytes,health,0.4637297118251077
Megakaryocytes,health,0.10869565217391304
Megakaryocytes,health,0.12048192771084339
Megakaryocytes,health,0.13722126929674097
Megakaryocytes,health,0.09285051067780872
Megakaryocytes,health,0.14342058085335246
Megakaryocytes,health,0.10474860335195531
Megakaryocytes,health,0.2626970227670753
Megakaryocytes,health,0.40854224698235836
Megakaryocytes,health,0.2893658066071859
Megakaryocytes,SMM,0.038925652004671074
Megakaryocytes,SMM,0.20154517971111857
Megakaryocytes,SMM,
Megakaryocytes,SMM,
Megakaryocytes,SMM,
Megakaryocytes,SMM,
Megakaryocytes,SMM,
Megakaryocytes,SMM,
Megakaryocytes,SMM,
Megakaryocytes,SMM,
Megakaryocytes,SMM,
Megakaryocytes,SMM,
Megakaryocytes,SMM,
Megakaryocytes,SMM,
Megakaryocytes,SMM,
Megakaryocytes,SMM,
Megakaryocytes,SMM,
Megakaryocytes,SMM,
Megakaryocytes,SMM,
Megakaryocytes,SMM,
Megakaryocytes,SMM,
Megakaryocytes,SMM,
Megakaryocytes,SMM,
Megakaryocytes,SMM,
Megakaryocytes,SMM,
Megakaryocytes,SMM,
Megakaryocytes,SMM,
Megakaryocytes,SMM,
Megakaryocytes,SMM,
Megakaryocytes,PMM,0.42316847394869084
Megakaryocytes,PMM,0.07747933884297521
Megakaryocytes,PMM,0.794135613927917
Megakaryocytes,PMM,0.5507113354749885
Megakaryocytes,PMM,0.09970089730807577
Megakaryocytes,PMM,
Megakaryocytes,PMM,0.04811161895597787
Megakaryocytes,PMM,0.29135642602784073
Megakaryocytes,PMM,0.20814748736247396
Megakaryocytes,PMM,0.5630630630630631
Megakaryocytes,PMM,1.8195229899188592
Megakaryocytes,PMM,
Megakaryocytes,PMM,
Megakaryocytes,PMM,
Megakaryocytes,PMM,
Megakaryocytes,PMM,
Megakaryocytes,PMM,
Megakaryocytes,PMM,
Megakaryocytes,PMM,
Megakaryocytes,PMM,
Megakaryocytes,PMM,
Megakaryocytes,PMM,
Megakaryocytes,PMM,
Megakaryocytes,PMM,
Megakaryocytes,PMM,
Megakaryocytes,PMM,
Megakaryocytes,PMM,
Megakaryocytes,PMM,
Megakaryocytes,PMM,
Megakaryocytes,RRMM,0.1621796951021732
Megakaryocytes,RRMM,1.0711097887533472
Megakaryocytes,RRMM,0.4662840746054519
Megakaryocytes,RRMM,0.32228360957642727
Megakaryocytes,RRMM,0.03189792663476874
Megakaryocytes,RRMM,0.13366005791935842
Megakaryocytes,RRMM,0.7616487455197133
Megakaryocytes,RRMM,
Megakaryocytes,RRMM,
Megakaryocytes,RRMM,
Megakaryocytes,RRMM,
Megakaryocytes,RRMM,
Megakaryocytes,RRMM,
Megakaryocytes,RRMM,
Megakaryocytes,RRMM,
Megakaryocytes,RRMM,
Megakaryocytes,RRMM,
Megakaryocytes,RRMM,
Megakaryocytes,RRMM,
Megakaryocytes,RRMM,
Megakaryocytes,RRMM,
Megakaryocytes,RRMM,
Megakaryocytes,RRMM,
Megakaryocytes,RRMM,
Megakaryocytes,RRMM,
Megakaryocytes,RRMM,
Megakaryocytes,RRMM,
Megakaryocytes,RRMM,
Megakaryocytes,RRMM,
Monocyte,health,14.15929203539823
Monocyte,health,9.375
Monocyte,health,
Monocyte,health,0.07054176072234764
Monocyte,health,9.551523450872988
Monocyte,health,10.398194422053846
Monocyte,health,4.633204633204633
Monocyte,health,3.9198606271777
Monocyte,health,3.8839353181199936
Monocyte,health,3.5164417411138564
Monocyte,health,13.861060929545083
Monocyte,health,0.8218615163344977
Monocyte,health,6.88622754491018
Monocyte,health,10.175297199274633
Monocyte,health,3.755605381165919
Monocyte,health,10.804738562091504
Monocyte,health,10.42645124929551
Monocyte,health,15.438988095238097
Monocyte,health,27.605633802816904
Monocyte,health,5.564756541901292
Monocyte,health,8.75
Monocyte,health,12.433734939759036
Monocyte,health,5.42024013722127
Monocyte,health,10.492107706592387
Monocyte,health,7.153101470060953
Monocyte,health,11.871508379888269
Monocyte,health,7.740805604203152
Monocyte,health,8.987929433611885
Monocyte,health,11.936339522546419
Monocyte,SMM,4.9824834565978975
Monocyte,SMM,5.374538125629829
Monocyte,SMM,
