cell,condition,proportions
CD56dimCD16+ NK cells,health,50.0
CD56dimCD16+ NK cells,health,60.0
CD56dimCD16+ NK cells,health,89.21161825726142
CD56dimCD16+ NK cells,health,88.61985472154964
CD56dimCD16+ NK cells,health,93.63057324840764
CD56dimCD16+ NK cells,health,91.66666666666666
CD56dimCD16+ NK cells,health,95.95959595959596
CD56dimCD16+ NK cells,health,94.79166666666666
CD56dimCD16+ NK cells,health,91.78082191780823
CD56dimCD16+ NK cells,health,90.14084507042254
CD56dimCD16+ NK cells,health,85.71428571428571
CD56dimCD16+ NK cells,health,87.12121212121212
CD56dimCD16+ NK cells,health,94.6341463414634
CD56dimCD16+ NK cells,health,94.80712166172107
CD56dimCD16+ NK cells,health,87.62886597938144
CD56dimCD16+ NK cells,health,94.36619718309859
CD56dimCD16+ NK cells,health,95.68527918781726
CD56dimCD16+ NK cells,health,83.81742738589212
CD56dimCD16+ NK cells,health,88.46153846153845
CD56dimCD16+ NK cells,health,94.39252336448598
CD56dimCD16+ NK cells,health,92.59818731117825
CD56dimCD16+ NK cells,health,99.27007299270073
CD56dimCD16+ NK cells,health,90.19607843137256
CD56dimCD16+ NK cells,health,97.10526315789474
CD56dimCD16+ NK cells,health,95.09536784741145
CD56dimCD16+ NK cells,health,90.09009009009009
CD56dimCD16+ NK cells,health,85.24590163934425
CD56dimCD16+ NK cells,SMM,88.05970149253731
CD56dimCD16+ NK cells,SMM,93.54838709677419
CD56dimCD16+ NK cells,SMM,
CD56dimCD16+ NK cells,SMM,
CD56dimCD16+ NK cells,SMM,
CD56dimCD16+ NK cells,SMM,
CD56dimCD16+ NK cells,SMM,
CD56dimCD16+ NK cells,SMM,
CD56dimCD16+ NK cells,SMM,
CD56dimCD16+ NK cells,SMM,
CD56dimCD16+ NK cells,SMM,
CD56dimCD16+ NK cells,SMM,
CD56dimCD16+ NK cells,SMM,
CD56dimCD16+ NK cells,SMM,
CD56dimCD16+ NK cells,SMM,
CD56dimCD16+ NK cells,SMM,
CD56dimCD16+ NK cells,SMM,
CD56dimCD16+ NK cells,SMM,
CD56dimCD16+ NK cells,SMM,
CD56dimCD16+ NK cells,SMM,
CD56dimCD16+ NK cells,SMM,
CD56dimCD16+ NK cells,SMM,
CD56dimCD16+ NK cells,SMM,
CD56dimCD16+ NK cells,SMM,
CD56dimCD16+ NK cells,SMM,
CD56dimCD16+ NK cells,SMM,
CD56dimCD16+ NK cells,SMM,
CD56dimCD16+ NK cells,PMM,94.19795221843003
CD56dimCD16+ NK cells,PMM,84.375
CD56dimCD16+ NK cells,PMM,96.0
CD56dimCD16+ NK cells,PMM,92.5531914893617
CD56dimCD16+ NK cells,PMM,84.0
CD56dimCD16+ NK cells,PMM,85.88235294117646
CD56dimCD16+ NK cells,PMM,81.41361256544502
CD56dimCD16+ NK cells,PMM,88.88888888888889
CD56dimCD16+ NK cells,PMM,98.62068965517241
CD56dimCD16+ NK cells,PMM,90.66390041493776
CD56dimCD16+ NK cells,PMM,
CD56dimCD16+ NK cells,PMM,
CD56dimCD16+ NK cells,PMM,
CD56dimCD16+ NK cells,PMM,
CD56dimCD16+ NK cells,PMM,
CD56dimCD16+ NK cells,PMM,
CD56dimCD16+ NK cells,PMM,
CD56dimCD16+ NK cells,PMM,
CD56dimCD16+ NK cells,PMM,
CD56dimCD16+ NK cells,PMM,
CD56dimCD16+ NK cells,PMM,
CD56dimCD16+ NK cells,PMM,
CD56dimCD16+ NK cells,PMM,
CD56dimCD16+ NK cells,PMM,
CD56dimCD16+ NK cells,PMM,
CD56dimCD16+ NK cells,PMM,
CD56dimCD16+ NK cells,PMM,
CD56dimCD16+ NK cells,RRMM,77.58620689655173
CD56dimCD16+ NK cells,RRMM,96.20253164556962
CD56dimCD16+ NK cells,RRMM,90.2027027027027
CD56dimCD16+ NK cells,RRMM,91.55672823218998
CD56dimCD16+ NK cells,RRMM,68.44349680170576
CD56dimCD16+ NK cells,RRMM,74.52830188679245
CD56dimCD16+ NK cells,RRMM,82.82208588957054
CD56dimCD16+ NK cells,RRMM,
CD56dimCD16+ NK cells,RRMM,
CD56dimCD16+ NK cells,RRMM,
CD56dimCD16+ NK cells,RRMM,
CD56dimCD16+ NK cells,RRMM,
CD56dimCD16+ NK cells,RRMM,
CD56dimCD16+ NK cells,RRMM,
CD56dimCD16+ NK cells,RRMM,
CD56dimCD16+ NK cells,RRMM,
CD56dimCD16+ NK cells,RRMM,
CD56dimCD16+ NK cells,RRMM,
CD56dimCD16+ NK cells,RRMM,
CD56dimCD16+ NK cells,RRMM,
CD56dimCD16+ NK cells,RRMM,
CD56dimCD16+ NK cells,RRMM,
CD56dimCD16+ NK cells,RRMM,
CD56dimCD16+ NK cells,RRMM,
CD56dimCD16+ NK cells,RRMM,
CD56dimCD16+ NK cells,RRMM,
CD56dimCD16+ NK cells,RRMM,
CD56brightCD16- NK cells,health,50.0
CD56brightCD16- NK cells,health,40.0
CD56brightCD16- NK cells,health,10.78838174273859
CD56brightCD16- NK cells,health,11.380145278450362
CD56brightCD16- NK cells,health,5.7324840764331215
CD56brightCD16- NK cells,health,8.333333333333332
