cell,condition,proportions
NK resident,health,100.0
NK resident,health,80.0
NK resident,health,93.7759336099585
NK resident,health,79.90314769975787
NK resident,health,68.15286624203821
NK resident,health,61.111111111111114
NK resident,health,76.76767676767676
NK resident,health,91.14583333333334
NK resident,health,82.1917808219178
NK resident,health,86.61971830985915
NK resident,health,89.79591836734694
NK resident,health,92.42424242424242
NK resident,health,80.48780487804879
NK resident,health,72.8486646884273
NK resident,health,88.65979381443299
NK resident,health,86.61971830985915
NK resident,health,83.24873096446701
NK resident,health,47.71784232365145
NK resident,health,86.53846153846155
NK resident,health,68.22429906542055
NK resident,health,63.89728096676737
NK resident,health,53.284671532846716
NK resident,health,41.830065359477125
NK resident,health,56.44736842105264
NK resident,health,87.73841961852861
NK resident,health,78.37837837837837
NK resident,health,79.50819672131148
NK resident,SMM,32.83582089552239
NK resident,SMM,36.55913978494624
NK resident,SMM,
NK resident,SMM,
NK resident,SMM,
NK resident,SMM,
NK resident,SMM,
NK resident,SMM,
NK resident,SMM,
NK resident,SMM,
NK resident,SMM,
NK resident,SMM,
NK resident,SMM,
NK resident,SMM,
NK resident,SMM,
NK resident,SMM,
NK resident,SMM,
NK resident,SMM,
NK resident,SMM,
NK resident,SMM,
NK resident,SMM,
NK resident,SMM,
NK resident,SMM,
NK resident,SMM,
NK resident,SMM,
NK resident,SMM,
NK resident,SMM,
NK resident,PMM,69.6245733788396
NK resident,PMM,50.0
NK resident,PMM,72.0
NK resident,PMM,81.91489361702128
NK resident,PMM,70.0
NK resident,PMM,64.70588235294117
NK resident,PMM,75.6544502617801
NK resident,PMM,27.350427350427353
NK resident,PMM,51.03448275862069
NK resident,PMM,31.742738589211616
NK resident,PMM,
NK resident,PMM,
NK resident,PMM,
NK resident,PMM,
NK resident,PMM,
NK resident,PMM,
NK resident,PMM,
NK resident,PMM,
NK resident,PMM,
NK resident,PMM,
NK resident,PMM,
NK resident,PMM,
NK resident,PMM,
NK resident,PMM,
NK resident,PMM,
NK resident,PMM,
NK resident,PMM,
NK resident,RRMM,25.287356321839084
NK resident,RRMM,36.708860759493675
NK resident,RRMM,36.486486486486484
NK resident,RRMM,61.477572559366756
NK resident,RRMM,44.989339019189764
NK resident,RRMM,16.037735849056602
NK resident,RRMM,43.558282208588956
NK resident,RRMM,
NK resident,RRMM,
NK resident,RRMM,
NK resident,RRMM,
NK resident,RRMM,
NK resident,RRMM,
NK resident,RRMM,
NK resident,RRMM,
NK resident,RRMM,
NK resident,RRMM,
NK resident,RRMM,
NK resident,RRMM,
NK resident,RRMM,
NK resident,RRMM,
NK resident,RRMM,
NK resident,RRMM,
NK resident,RRMM,
NK resident,RRMM,
NK resident,RRMM,
NK resident,RRMM,
NK exhausted,health,
NK exhausted,health,
NK exhausted,health,4.149377593360995
NK exhausted,health,13.317191283292978
NK exhausted,health,21.656050955414013
NK exhausted,health,19.444444444444446
NK exhausted,health,17.17171717171717
NK exhausted,health,5.208333333333334
NK exhausted,health,9.315068493150685
NK exhausted,health,7.042253521126761
NK exhausted,health,5.830903790087463
NK exhausted,health,4.545454545454546
NK exhausted,health,13.78048780487805
NK exhausted,health,16.320474777448073
NK exhausted,health,7.560137457044673
NK exhausted,health,8.80281690140845
NK exhausted,health,10.406091370558377
NK exhausted,health,25.311203319502074
NK exhausted,health,7.6923076923076925
NK exhausted,health,22.429906542056074
NK exhausted,health,22.9607250755287
NK exhausted,health,28.467153284671532
NK exhausted,health,30.88235294117647
NK exhausted,health,29.47368421052631
NK exhausted,health,8.446866485013624
NK exhausted,health,15.315315315315313
NK exhausted,health,13.934426229508196
NK exhausted,SMM,55.223880597014926
NK exhausted,SMM,47.31182795698925
NK exhausted,SMM,
NK exhausted,SMM,
NK exhausted,SMM,
NK exhausted,SMM,
NK exhausted,SMM,
NK exhausted,SMM,
NK exhausted,SMM,
NK exhausted,SMM,
NK exhausted,SMM,
NK exhausted,SMM,
NK exhausted,SMM,
NK exhausted,SMM,
NK exhausted,SMM,
NK exhausted,SMM,
NK exhausted,SMM,
NK exhausted,SMM,
NK exhausted,SMM,
NK exhausted,SMM,
NK exhausted,SMM,
NK exhausted,SMM,
NK exhausted,SMM,
NK exhausted,SMM,
NK exhausted,SMM,
NK exhausted,SMM,
NK exhausted,SMM,
NK exhausted,PMM,23.208191126279864
NK exhausted,PMM,31.25
NK exhausted,PMM,20.0
NK exhausted,PMM,11.170212765957446
NK exhausted,PMM,24.0
NK exhausted,PMM,31.76470588235294
NK exhausted,PMM,13.612565445026178
NK exhausted,PMM,65.8119658119658
NK exhausted,PMM,34.1871921182266
NK exhausted,PMM,50.20746887966805
NK exhausted,PMM,
NK exhausted,PMM,
NK exhausted,PMM,
NK exhausted,PMM,
NK exhausted,PMM,
NK exhausted,PMM,
NK exhausted,PMM,
NK exhausted,PMM,
NK exhausted,PMM,
NK exhausted,PMM,
NK exhausted,PMM,
NK exhausted,PMM,
NK exhausted,PMM,
NK exhausted,PMM,
NK exhausted,PMM,
NK exhausted,PMM,
NK exhausted,PMM,
NK exhausted,RRMM,67.81609195402298
NK exhausted,RRMM,54.43037974683544
NK exhausted,RRMM,54.27927927927928
NK exhausted,RRMM,29.551451187335093
NK exhausted,RRMM,44.562899786780385
NK exhausted,RRMM,66.0377358490566
NK exhausted,RRMM,44.171779141104295
NK exhausted,RRMM,
NK exhausted,RRMM,
NK exhausted,RRMM,
NK exhausted,RRMM,
NK exhausted,RRMM,
NK exhausted,RRMM,
NK exhausted,RRMM,
NK exhausted,RRMM,
NK exhausted,RRMM,
NK exhausted,RRMM,
NK exhausted,RRMM,
NK exhausted,RRMM,
NK exhausted,RRMM,
NK exhausted,RRMM,
NK exhausted,RRMM,
NK exhausted,RRMM,
NK exhausted,RRMM,
NK exhausted,RRMM,
NK exhausted,RRMM,
NK exhausted,RRMM,
Others,health,
Others,health,20.0
Others,health,2.0746887966804977
Others,health,6.779661016949152
Others,health,10.191082802547772
Others,health,19.444444444444446
Others,health,6.0606060606060606
Others,health,3.6458333333333335
