NK exhausted,NK resident,Others
CD63,NFKBIA,GAPDH
CD74,JUNB,JUN
GAPDH,DUSP1,HLA-E
TIGIT,FOS,KLRB1
HAVCR2,NR4A2,FAM49B
HLA-DRA,HSP90AA1,MT-ND1
KLRC2,CD69,RPS2
HLA-DRB1,IER2,CD74
CMC1,SRGN,SEPTIN7
RPS14,HSPA8,RPLP2
IL32,ZFP36,RPS4X
TRDC,PPP1R15A,MT-ND3
CYBA,BTG2,CD247
HCST,FOSB,RPL3
TMSB10,JUN,RPL28
NPM1,TNFAIP3,MT-ND2
RPL24,UBB,RPS15
MT-CYB,XCL2,GZMM
MT-CO3,PMAIP1,SERF2
FTL,AC020916.1,ATP5MC2
HLA-DMA,FGFBP2,RPS23
RPL27A,EIF1,H3F3B
RPL22,HBA1,HMGN2
CDC42,H3F3A,HBA2
BTF3,TUBA1B,RAP1B
RPS29,RPL18A,LRRFIP1
HSP90B1,MAFF,RPL9
RPL39,KLF6,PSME1
NKG7,AREG,RPL30
MYL12A,PTGER4,RPL26
RPS11,IFRD1,SYNE2
MTCO1P12,IRF1,CD63
CALM1,HSP90AB1,PLAC8
JAK1,SERTAD1,KLRC2
PFDN5,GADD45B,SELENOH
ADGRG1,DNAJA1,ANXA1
MYL6,AC008969.1,RPL13
CCL4L2,SRSF7,ABRACL
RPL21,TSC22D3,ATP5MD
RPL10A,HNRNPA1,RPS20
CCL3,RPL36,SLC25A3
CORO1A,COX6C,RPL27A
UQCRB,YPEL5,RPL15
FUS,MCL1,GUK1
PRKCH,SRSF2,PLAAT4
HLA-DPB1,UBA52,RPS27L
HLA-A,PTGDS,RPS13
ARPC2,NDUFA4,OST4
MBP,EHMT1,LAIR1
HLA-C,MAP3K8,SNRPB2
