NK exhausted,NK resident,Others
CD74,JUN,RPL35
CD63,IER2,RPS23
KLRC2,DUSP1,RPL14
GAPDH,NFKBIA,RPL27A
HLA-DRA,AREG,RPS14
HAVCR2,ZFP36,IFITM1
TIGIT,FOS,PLAC8
HLA-DRB1,JUNB,RPSA
GZMH,HSP90AA1,RPS26
HLA-DPB1,IFRD1,ZEB2
TRBC1,MAFF,ELOB
HLA-DMA,PPP1R15A,OSTF1
S100A9,HSP90AB1,RPL23
KLRD1,CD69,RPL7
RPL36,UBB,CALM1
RPL7A,HSPA8,H2AFZ
SNHG5,DNAJA1,RPL3
EDF1,HSPE1,KCNJ3
N4BP2L2,REL,BTN3A2
BTG1,NR4A2,SNRPD2
TRG-AS1,GADD45B,SRGN
GAS5,PMAIP1,RPS4X
FGF23,PPIA,EIF5B
NOP53,PABPC1,DDX21
RPS8,RPL21,RPS3A
SH3BGRL3,FOSB,TBX21
COX8A,CXCR4,TXNIP
CMC1,KLRC1,MT-ND3
HLA-DPA1,PRF1,ATP5IF1
ID2,TSC22D3,COX4I1
PRPF38B,SRSF3,PTPRA
RPS20,CCL3,GAPDH
NEAT1,RPS9,CD53
LINC01871,BTG2,RPL5
OST4,EIF1,UGP2
MYO1F,DNAJB1,XIAP
BLOC1S1,PTGDS,SYNE2
IGLC3,XCL1,CD63
CD7,SPON2,PSMB3
SNHG14,ISG15,CD247
RPL38,RNF213,RAP1B
RPL13A,SERTAD1,PLAAT4
SKP1,SRGN,RPL19
GABPB1-AS1,RPS21,SH3KBP1
AAK1,MT-ATP6,NDUFA1
FTL,ZNF331,TPI1
PSMA3-AS1,IL2RB,HIST1H4C
JCHAIN,ENO1,MESD
FXYD5,IQGAP1,RPL10A
LYST,IRF8,IL2RG
