ARID3A_(+),ARID5B_(+),ARNTL_(+),ATF1_(+),ATF4_(+),ATF6B_(+),BATF_(+),BCL11B_(+),BCLAF1_(+),BHLHE40_(+),BPTF_(+),CEBPB_(+),CEBPD_(+),CEBPG_(+),CREB1_(+),CREB3L2_(+),CREM_(+),CTCF_(+),CUX1_(+),DDIT3_(+),E2F4_(+),ELF1_(+),ELF2_(+),ELK4_(+),EOMES_(+),EP300_(+),ETS1_(+),FLI1_(+),FOS_(+),FOSB_(+),FOSL2_(+),FOXO3_(+),FOXP1_(+),GATA3_(+),GATAD1_(+),GATAD2A_(+),GTF2I_(+),HMBOX1_(+),HMG20B_(+),HMGA1_(+),HOXB2_(+),HSF1_(+),IKZF1_(+),IKZF2_(+),IKZF3_(+),ILF2_(+),ING4_(+),IRF1_(+),IRF2_(+),IRF3_(+),IRF7_(+),IRF8_(+),IRF9_(+),JUN_(+),JUNB_(+),JUND_(+),KLF2_(+),KLF3_(+),MAF_(+),MAFF_(+),MAX_(+),MGA_(+),MLX_(+),MXD1_(+),MXD4_(+),MYBL1_(+),NFATC2_(+),NFE2L2_(+),NFYC_(+),NR2C2_(+),NR3C1_(+),PBX2_(+),PHF20_(+),PRDM1_(+),PURA_(+),RUNX3_(+),RXRB_(+),SMARCC2_(+),SP3_(+),STAT1_(+),STAT3_(+),STAT6_(+),TAF6_(+),TBX21_(+),TCF7_(+),TFDP1_(+),TFDP2_(+),TFEB_(+),USF2_(+),VEZF1_(+),XBP1_(+),YBX1_(+),YY1_(+),ZBTB43_(+),ZBTB7A_(+),ZFP91_(+),ZFX_(+),ZNF148_(+),ZNF224_(+),ZNF226_(+),ZNF274_(+),ZNF33A_(+),ZNF350_(+),ZNF429_(+),ZNF480_(+),ZNF518A_(+),ZNF580_(+),ZNF600_(+)
3.727978548726529,3.3788606331867186,3.768557249074094,3.343754736579651,3.164884199946515,3.179792006124448,3.221095900374049,3.11634176824475,3.5080994679258644,3.02534577885282,3.836606740581301,3.5765889333506187,3.4161444950323956,3.596173356283353,3.253341917193099,3.213432243082256,3.2473530567846276,3.0787850297459274,3.5392760814492976,3.176705399409627,3.1131828140957873,3.873767035176643,3.3281933387139215,3.748952236897006,3.4394160801697833,3.334660942677621,3.712561516484368,3.5751662191905886,3.4096711499243235,3.5844984632860437,3.355621604247103,3.2092012697564205,3.2268139369128157,4.009364760294058,4.227731668268544,3.1971689409442363,3.749593498340147,3.1737849544945544,3.435232131066689,3.924836496492877,3.778847752381943,4.267960501766587,3.701359445676082,3.3218409156622406,3.3609930747152053,4.286488234064267,4.453089096997919,3.3969475114315832,3.373008923161477,3.3996311309579794,3.500497219353162,3.6121380601917847,3.381051567004349,3.2468582239287254,3.2617993819147046,3.2089262408389407,3.0003856990054607,3.338244753828466,3.378034166216542,3.1614254223929734,3.3485810291292055,3.435726734399829,3.025290223209128,3.1973295475513774,3.4935789790528777,3.895981866926353,3.691550491754991,3.1300248895022857,3.223664190672753,3.09776832589438,3.376901014061427,3.117874502567301,3.5626737402156334,3.071931456484558,3.581283290445901,3.753446537651664,3.5682924714404907,3.065092288855016,3.007055208490535,3.4380043785606205,3.156408918566896,3.524355696253301,3.4424485565294654,3.400616326225192,3.5224394685169216,3.754026835945668,3.1132360638662746,3.4899602299301287,3.294394882094401,3.386341210961849,3.445646706077987,3.1892548113892554,3.670321602896698,3.5063766549257487,3.5239032231007537,3.346487498836506,3.4061433598624364,3.4104774764823937,3.016655517095824,3.235019764545132,3.7760473267544015,3.4827517038106706,3.19760840745623,3.510051488420184,3.372264454376521,4.415152174305275,3.7965700875908404,3.366421469830873
HSPA8,ADAM17,AATF,ATF1,AKAP8,ACP1,ANKRD49,COX8A,ACSS1,ABI2,ADSS,ACAA1,AAK1,ABHD17B,CHTOP,ACTR1B,COX8A,ATP8A1,CUX1,ANP32A,CD3E,AAK1,AAK1,CAPN2,AAK1,ARPC4,AATF,AFF4,ABHD13,ACAA1,ANXA1,ATG12,AKAP8,ABCF1,ARPC1B,CACYBP,ACTR3,B2M,ADGRG1,ARL5A,ADSS,CAST,ACAT2,ANKRD36,CHST12,ABT1,BLOC1S4,ACSS1,ADAR,APOBEC3C,ADRM1,ACADVL,ADD3,ACTG1,ACTG1,ACTG1,APH1A,ATP9B,C1orf174,ANAPC5,AAK1,APRT,AHSA1,ANAPC5,ATXN7,ARHGEF1,ACAP2,CCNL2,ACTB,AKAP13,AKAP13,CHD2,AAGAB,AP2S1,ABCE1,AAMP,ARHGAP9,ADNP,ACTR3,A2M-AS1,DDX3Y,AAK1,ALOX5AP,AKTIP,DCAF13,AGTPBP1,CREB1,CAST,B3GAT3,ADAM8,AATF,ABHD13,AAGAB,BNIP1,ABI3,ATP6V1B2,ABI1,AFF4,MAD1L1,AAK1,ALG5,CCNI,GABARAPL1,C1orf35,ADAR,ACBD6,ADI1,EIF3B
IDI1,AKAP7,ACTR3,BSCL2,ALG13,ARF1,CARD16,HNRNPUL1,ACTN4,ADAM17,AP2B1,AHNAK,ADA,ANKRD20A4,COPZ1,ACTR3,CREM,BNIP3L,HELZ,CST3,E2F4,ABCF1,ABHD3,CAPZA1,ADAM10,ATP1B3,ABI2,AP2M1,AK3,ACBD6,ARF1,BTG2,ATP6AP1,ACP1,C11orf58,CCNL1,ADD3,CLEC2D,ARF6,BDP1,ALOX5AP,ERCC5,ADA,ARF4,DUS1L,ACTB,COX17,ADGRG1,ADRM1,CCDC115,AKAP9,ACTR2,B2M,ACTR3,ADAR,ADA,ARGLU1,BRAF,C6orf62,ATG5,ABCA2,ARHGEF1,CD44,CARD16,DDX3X,ATXN2L,ADAR,DDX46,ANAPC11,BAZ2A,ALKBH6,EIF1,ACTR3,CD2BP2,ANKRD44,AATF,ARID4B,ATP6V0C,ADD3,ACAA2,HLA-DQB1,AATF,ANKHD1,ARHGEF1,DUT,ANKRD11,ERGIC2,CYTH1,BCLAF1,CALM2,ABHD17A,ABHD17A,ABCF1,COPS4,ADH5,CDIP1,ADA,AGO3,RAPGEF6,CHCHD5,ANXA2,DDX6,HNRNPF,FGR,AHSP,ADA,AKAP9,HMOX2
SPTBN1,ARID5B,ADI1,CHMP2A,AP2B1,CCNL1,CIRBP,SNRPB,ACYP2,AGTPBP1,ARGLU1,AMD1,APH1A,ARID1B,CREB1,ATF6B,EBP,FBXO11,HNRNPU,EVL,FIP1L1,ABHD17A,ABI2,CFL1,ADAR,ATP6AP2,ACTB,AP3S1,ALG13,BTF3,BTG3,FOS,BTF3,ACTB,CCNI,CDC42,CAPZA2,DCXR,ASCL2,CAPZA2,AMD1,MTERF4,ADD1,ARGLU1,MRPL28,ACTG1,CPNE1,AKIRIN1,AKR1B1,CTDSP1,ANXA4,APPL1,CEP78,ADH5,ALG13,ADD1,ARL4A,C1orf43,CABIN1,ATR,AP2M1,ARL2,COPS5,DEK,ITGB1,CMC1,ALOX5AP,DNAJC19,ANXA11,CBLB,ALOX5AP,EMD,ADD1,COQ10B,ARPC2,ACAP2,ARL6IP1,SMARCC2,APLP2,ADAR,KLF2,AKAP13,ANKRD44,ARL4C,EEF1D,ANXA7,FMR1,ELF1,DHX40,CD3E,ACSS1,ABI2,ABI2,FAM53C,ANXA11,NGRN,ANKRD12,APBB1IP,STX4,COQ4,BAZ2A,MAP2K2,MPPE1,FTX,MAPK1,ADRB2,ALDH9A1,KCNQ1OT1
XRCC5,CASP4,ADIPOR1,DCP2,ARGLU1,GNAI2,DDIT4,SSR2,ADD1,ARAP2,ARID5A,AP2S1,ARF6,AXIN1,CTBP2,ATP6V1G1,EIF1B,SUPT6H,IDS,G3BP2,FOXN3,ABHD5,ADD1,CSTB,AHSA1,C18orf32,ACYP1,ARPC1B,AMD1,C1orf43,CAB39,FOXO3,CBFB,ANAPC11,CD47,EIF1,CCND2,GPX4,CHST12,CWC15,ANAPC11,RUNX1,ADI1,BCLAF1,PRNP,ACTR3,DDX50,ARHGEF1,ANKRD49,EEF1D,APOL6,ARFGAP3,CMC1,ADRM1,AMD1,ADGRG1,ATF4,CIRBP,CLK3,CCDC124,BZW1,BEX4,FOXO3,EDF1,MRPL24,DAB2,APBB1IP,NFU1,ARHGEF1,ECSIT,ARHGDIA,FLNA,ADSS,CPNE1,ATP6AP2,ACSL3,ATP1A1,,ARHGEF9,ARL6IP1,KTN1,AKIRIN2,AP2A1,ARMCX6,RPL3,AP2B1,LINC01578,LPCAT1,DUSP2,CENPK,ACTB,ACP1,ACADVL,POU2F2,APEX1,PIK3CD,ARPP19,B3GAT2,,ERGIC3,C12orf75,RBPJ,USP7,GNB1,OPTN,AGTPBP1,ANXA2,NDUFA8
,CCND2,AKNA,EIF5A,ATF4,HNRNPH3,DDX6,,ADGRG1,ARF1,ARL4C,ARHGAP30,ARRDC2,CDYL,EIF3E,C11orf58,FGFBP2,VPS53,ITK,JUNB,IRF9,ACAA2,AKAP13,CTSD,ARF4,CCNT1,AHSP,ARPC5,AMZ2,CBX6,CALM3,FYN,CBX6,APRT,CNBP,PAFAH1B1,ITGB1,HMBOX1,DOK2,GNPTAB,ANKRD12,UQCRB,AGL,CCDC90B,SF1,ADGRG1,EIF3G,ARPC3,AP1M1,EIF3G,ARL4C,BCL2L13,CTCF,AFF4,ANAPC11,ADRM1,ATP1A1,CMTR2,COQ10B,CD63,CCZ1,COMMD9,GNAI3,KMT2E,PI4KB,DDX5,ARID5A,PSMD11,ARIH2,KRTCAP2,ATG12,TMEM230,AGTRAP,CRIPT,BCAP31,ADAM8,ATP6V0C,,ARRDC3,C1D,OGFR,ANXA4,ARL4C,BPTF,RPS3A,ARAP2,SENP6,LSM3,EIF1,COA1,ADSS,ACTR2,ACTB,PRPF38B,AREG,RNF44,ATRX,BTN3A2,,FBXO7,C1orf21,ZFP91,,LY6E,SCAF11,ARHGDIB,AP2A1,S1PR5
,CD164,ANP32B,ENSA,CARD19,IL12RB1,EIF1,,AFF4,ASH1L,BCAS2,ARHGDIA,AURKAIP1,CEBPG,GABARAP,C4orf3,GPX4,,KMT2E,RPS10,LCP2,ACTB,APOL3,DUSP1,ARHGAP15,CLIC1,AKNA,ATG12,ANAPC5,CHKB,DDX3Y,ISG15,CD44,ATRAID,CTSC,SAP18,JAK1,JUNB,FLNA,IDI1,ANKRD28,ZNF335,AKAP13,CDC42SE2,SHMT2,ADI1,EIF4A2,ARPC4,ATP6V0C,FXYD5,BUB3,BTG1,FLNA,AGL,ANKRD44,AHSA1,B2M,COX5B,COX7A2,CD69,CLPTM1L,COX7A2,GRB2,NFATC2,PSIP1,FAM126B,BPTF,RAD21,ATM,NDUFA5,C1orf131,UBQLN2,AKAP13,DNAJB6,BTF3,ADD1,ATRX,,ATXN7,CAPZA1,RAB27A,ARF4,BIN2,C11orf58,TCF7,ARHGAP9,SLC4A7,MAPK1,EIF3K,CREBRF,AGTRAP,ACTR6,ACTG1,RWDD4,ARL4A,TMIGD2,CDKN2D,FNIP1,,GGA1,CAP1,,,MATK,UBAC2,ATF6B,APOL6,STK4
,CTBP2,ANP32E,PMAIP1,DDX5,ITGAX,H2AFV,,AK2,ATP1B3,BPTF,ARL5A,BTG1,COQ10B,KLF3,CELF2,HIST1H2AC,,MAP4K5,,MFNG,ACTR2,ARHGEF1,EIF1,ARHGEF1,COX6B1,AKTIP,ATP6V1H,ANXA7,CNOT4,DUSP1,ITGB2,CELF2,BBX,DBI,SPON2,POLD4,LINC00623,GNB1,LBR,APOL3,,AMD1,CDK13,SMAD2,AGO3,GATAD1,ARRDC3,BOK,FYTTD1,C7orf50,CAPZB,HLA-B,AKAP8,ANXA2R,AKAP8L,CARD8,CPNE1,CYTH2,COX7B,DCAF11,EPS15,H2AFJ,RPS8,TNPO3,GBP2,BRMS1,STX8,BCL2L1,PDIA3,C1orf52,VOPP1,AKR1C3,FAM49B,CALM1,ADIPOR1,CBX3,,BSG,CARD8,RAD9A,ARHGEF3,BLVRB,CARD8,TRIM33,ARL4A,SMC6,MYDGF,GNG10,CSNK1D,AKR1A1,ACYP2,ADD3,SSBP3,ARL6IP1,TOP1,CLN3,JARID2,,NDUFS3,CAST,,,NCAM1,ZNF480,ATP6V1D,ARPC4,TFG
,FMR1,ANXA11,PPM1A,DNAJA2,MAPKAPK3,LDHA,,ANKZF1,CAST,C4orf3,ARPC4,CACUL1,DDAH2,NT5C,CFAP20,NXT1,,MGAT1,,RPS6KB1,ACYP2,ARL2,EIF3H,ARL6IP1,CSTB,ALDOA,C11orf58,APOL6,EEF1B2,FOSL2,PIP4K2A,COX11,BORCS7,EIF3G,SSU72,SATB1,RASGRP2,HBA1,LYAR,APOL6,,ANKRD11,CLINT1,,AKR1B1,GPATCH8,BAZ1B,CALM1,HLA-E,C9orf78,COMMD9,IGFBP7,AKAP8L,ARF1,ALOX5AP,CASP4,CREB1,EIF3E,CXXC5,ETHE1,FYN,HP1BP3,SKP1,VPS51,HNRNPA1,CD247,THUMPD3-AS1,BEX2,PDIA4,C9orf78,,ANXA7,FRG1,CALM2,AKAP13,CMC1,,CCND2,CAST,,ATG2A,BTF3,CCDC167,WBP2,ARPC3,TFDP2,PDXDC1,GRK6,CTSS,APOBR,ADAR,AFG3L2,TMEM256,ARRDC2,TRA2A,CNBP,KDM4C,,OTUD5,CCND3,,,NCL,,ATXN2L,B2M,
,FOSL2,ATP6V0C,PTPRE,EIF1,NACA,LYRM2,,ANXA2R,CDKN2C,CCAR1,AZIN1,CANX,DEF8,OSTF1,CIR1,PPIA,,PPP2R5C,,S100A6,ADA,ATP6V1H,ELK4,ARL6IP5,DPM3,ALKBH6,CD164,ARFGAP3,EIF3L,GAK,PRKX,DHRS3,BTF3,GATAD1,STIM2,SLC4A7,RPL23,HMG20B,MRPL52,ARHGDIA,,AP1S2,CNBP,,AMZ2,IKZF1,C2orf74,CBLB,HNRNPA2B1,CARHSP1,EIF5A,JPX,AKAP9,ARF6,ANAPC5,CD53,CTBP2,EMB,DDT,FAM91A1,ID2,ISG15,,,HNRNPA2B1,CENPC,UBA52,BUD31,RNPS1,CACYBP,,AP2S1,FXYD5,CCND3,AKAP8L,DDX6,,CCNI,CBR4,,ATP2A3,BTN3A1,CCL3,,ATRX,TPP2,PGK1,H3F3B,DENND2D,ARAP1,ADGRG1,AKR1A1,,ASAH1,TRAPPC2L,DCAF5,MKLN1,,PFDN6,DCTN3,,,NDFIP1,,AURKAIP1,BAZ2B,
