ARNTL_(+),ASCL2_(+),ATF1_(+),ATF2_(+),ATF4_(+),ATF6_(+),BATF_(+),BCL11B_(+),BCLAF1_(+),BDP1_(+),BHLHE40_(+),BPTF_(+),CEBPB_(+),CEBPD_(+),CEBPG_(+),CHD1_(+),CHURC1_(+),CREB1_(+),CREB3_(+),CREM_(+),CTCF_(+),CUX1_(+),CXXC1_(+),DDIT3_(+),DRAP1_(+),EGR1_(+),ELF1_(+),ELF2_(+),ELK4_(+),EOMES_(+),EP300_(+),ETS1_(+),ETV3_(+),FLI1_(+),FOS_(+),FOSB_(+),FOSL2_(+),FOXJ3_(+),FOXN2_(+),GATA3_(+),GATAD1_(+),HIF1A_(+),HMBOX1_(+),HMGA1_(+),HOXB2_(+),HSF1_(+),IKZF1_(+),IKZF2_(+),IKZF3_(+),ILF2_(+),ING4_(+),IRF1_(+),IRF2_(+),IRF3_(+),IRF7_(+),IRF8_(+),IRF9_(+),JUN_(+),JUNB_(+),JUND_(+),KLF11_(+),KLF13_(+),KLF2_(+),KLF3_(+),KLF6_(+),KLF9_(+),MAF_(+),MAFF_(+),MAX_(+),MAZ_(+),MECP2_(+),METTL14_(+),MTF2_(+),MXD4_(+),NFAT5_(+),NFATC2_(+),NFATC3_(+),NFE2L2_(+),NFKB1_(+),NFKB2_(+),NFYB_(+),NFYC_(+),NR1H2_(+),NR3C1_(+),NR4A1_(+),PHF20_(+),POU2F2_(+),PRDM1_(+),PURA_(+),RAD21_(+),REL_(+),RELB_(+),RFXANK_(+),RUNX1_(+),RUNX3_(+),RXRB_(+),SATB1_(+),SIRT6_(+),SMAD2_(+),SMAD3_(+),SOX4_(+),SP3_(+),SREBF2_(+),STAT1_(+),STAT6_(+),TAF1_(+),TAF6_(+),TBX21_(+),TFDP1_(+),THAP11_(+),THRA_(+),TP53_(+),UBP1_(+),USF2_(+),XBP1_(+),YBX1_(+),YY1_(+),ZBED1_(+),ZBTB11_(+),ZBTB2_(+),ZBTB24_(+),ZBTB25_(+),ZBTB43_(+),ZBTB7A_(+),ZFX_(+),ZKSCAN1_(+),ZNF148_(+),ZNF160_(+),ZNF22_(+),ZNF493_(+),ZNF518A_(+),ZNF580_(+),ZNF791_(+)
0.7515072607917004,0.84141053297937,0.860250584776174,0.39083596913296115,0.9478789288898751,0.9202621771345662,0.8308292311778707,0.6218810644303723,0.9586772495370633,0.4014799678138734,0.928024338512322,0.9222444458701874,0.9424467474971681,0.9116241171710138,0.8525854133260624,0.7513914859789308,0.697927761349472,0.5198319838752172,0.5077522316369236,0.9016808323197972,0.4127590407809909,0.6636440922389144,0.5757430930093591,0.8054383904768194,0.9573972267043093,0.9392545652557948,0.9406683321418903,0.9527589214053108,0.927576123609221,0.9378582746242415,0.6185990392060936,0.959185030547764,0.9216802604085245,0.9549962341314371,0.9496879166680218,0.9586917895416307,0.8164587478939787,0.23411950715667496,0.8215963838280557,0.9548675084892472,0.8429404708303126,0.3674829935497521,0.6047280645867326,0.3883582695247515,0.8506207193129431,0.7790280562950512,0.9298298036905456,0.8605007583354359,0.9559697331907552,0.9476325888644995,0.9155881801327915,0.9628511454663777,0.9028361504398351,0.88822220259038,0.9504023694309702,0.925211586272988,0.9159348979528213,0.9643925268221861,0.9645731896801176,0.8812450634425293,0.8368545692766449,0.5573221929315504,0.9727086678960264,0.8932061877334202,0.8284761795643254,0.6371714052216038,0.454627955879059,0.9522851793448824,0.6549124880513615,0.9273059991376187,0.7052061419796629,0.39875604966304834,0.7135231364376962,0.559141761978553,0.7910276321005272,0.9022622905546158,0.5674698642170597,0.6430184631379596,0.6883786826919207,0.911317260191352,0.9202489768500215,0.8851928912456222,0.6960374960947928,0.8828199977051718,0.6288528987922959,0.9272257857264073,0.5888697221855141,0.5164892812490143,0.9037055463537828,0.42078839640777865,0.36730157880964676,0.6838003887573725,0.8902220101627383,0.8489070650236952,0.8817458662666918,0.8669912894330501,0.6753799402493432,0.7204350732984894,0.5793809733366433,0.7242360651645752,0.3328102826112844,0.9085506072602489,0.8396372318912597,0.9295950046395856,0.8970535287562599,0.8218411712701383,0.6361042167432317,0.9426676587475056,0.9438227550009196,0.5154560351246513,0.755592104476809,0.5030974018479899,0.4004374855014661,0.7848069784068197,0.5534383348344194,0.9728539400317961,0.9415065722466064,0.6872849045513104,0.9068081708059952,0.7932692828521439,0.2414464697851747,0.8043870337065677,0.7826690431855527,0.9714356577243053,0.291017342211927,0.5208570315596639,0.8679225464286309,0.4437188380513619,0.36760107698082145,0.254188390210653,0.8574684010013203,0.9421477635007981,0.3132806844143212
AKAP13,HBB,ACD,ATF2,ABCA5,ABHD15,ABCF1,AGO3,AAMP,CLN3,A2M-AS1,ABHD15,ABHD17A,ABHD17A,ADRM1,AFF4,ACTR1A,ANXA7,ADAR,ABI1,DCLRE1C,ARID4A,CD46,AIP,ABRACL,ACSS1,A1BG,ABRACL,AIMP1,AATF,ATG4B,ABCE1,AKIRIN2,ACTB,ACBD5,ABCA5,ACIN1,ARID4A,ACTR1B,ABI1,ARHGAP26,CCNT2,CMC1,ABCB1,ACAA1,ACOT7,ABI1,ACYP1,AATF,ABCD4,ANAPC16,AATF,ACSS1,AAK1,ABI1,AAMP,ABHD17B,AAGAB,A1BG,ACTG1,ANKRD12,ACAA1,ABHD12,ARAP2,AAGAB,CDC123,DIS3,AAK1,CYCS,ABHD17A,C1orf52,ATXN3,ADAM10,AKAP5,ANP32A,ADGRG1,NFATC3,ARF4,ANKRD12,ACO2,AAK1,AP1S2,BAZ2B,AGK,ATOX1,ABHD12,ALKBH5,CDC73,ACSS1,ARHGEF6,MRPL24,ADPGK,ADD3,ARID5A,ABCF1,ASCC3,CASP4,ASCC3,ARAP1,ATP6AP1,HOXB-AS1,ACSS1,ADA,AAK1,AP1G2,ANKRD12,CSNK2A1,ABCF1,ACYP1,CSRP1,CAMLG,ATF7IP,EHD1,ALG5,ANKRD12,ABHD17A,AAK1,AK3,ABCF1,CC2D1A,ATR,ACAP2,ARPC2,AASDHPPT,CRELD1,ARF4,AKIRIN1,ABCB1,CREM,KLHDC4,AKNA,AATF,DIS3
ARHGAP9,POGZ,ADD1,CTBP1,ABHD13,ACSS1,ACADM,BCL11B,AASDHPPT,DDX52,AKTIP,ABHD17A,ACO2,ACADVL,AIP,ANKRD12,ANKRD11,CREB1,COL6A2,ACADVL,FBXO21,BRD2,CXXC1,BHLHE40,ADAM17,ACTB,ABCE1,ADI1,ANAPC13,ABHD15,C5orf56,ABHD12,AP2B1,ACTN4,AFTPH,ABCB1,ADGRE5,RPAP3,AP1S2,ACLY,ATL3,NME6,NCAM1,C19orf48,AFF4,ANKRD11,ACAA1,AFF4,ACIN1,ACIN1,ANP32A,ABHD17A,ADAM8,ADH5,ABI3,ABHD17A,ARHGDIB,AAK1,ABCA5,ARL4C,ANXA2R,ADSS,ABHD15,ARF6,ANAPC10,CXCR4,FAM162A,ABLIM1,EEF1G,ACTR6,CARD11,HSPBP1,AHI1,ATXN2,ASTE1,ANGEL2,RAD9A,ATP6AP2,C16orf87,ADSS,ABRACL,ARHGAP1,C5orf24,AGPAT4,CTPS1,ABHD17A,ARFGAP2,CLN3,ADRM1,KATNA1,RAB29,BCAS2,ALG13,ARSG,ABHD12,CHMP2B,GNAS,CAPNS1,CSNK1E,B3GAT3,MLLT3,ACTR1B,ANXA4,AAMP,AP2A1,ARPC5,DNAJC7,ACO2,ADA,GLYR1,CCDC186,ATXN7,LYPLA2,CDC25B,ARHGEF9,ABRACL,AAMP,ANKRD12,ABTB1,CCL5,LAX1,ANXA4,ARPC4,ABHD17A,TOB1,ATR,AMD1,CETN2,RAB11B,RPIA,ARF4,ABCA2,MAPKAPK3
ARNTL,SPON2,AKAP13,CYB5R4,ADAM10,ALKBH7,ACBD6,CREBBP,ABHD3,FBXO3,ANAPC10,ABI1,ACTR3,ACTG1,AKIRIN2,ARL2,CABIN1,MYL12B,CREB3,ACYP2,FUNDC1,CUX1,DPP9,CRELD2,ADD3,ADA,ABHD12,ADRB2,ANKHD1,ALDH9A1,CCNK,ABHD13,ASCL2,ACTR1A,AGPAT1,ABCD4,AP3D1,TAPBPL,AP2B1,ACSS1,ATP1B3,PRKD2,SRSF1,CYB5A,APMAP,APEH,ACADM,ANAPC15,ACO2,ACTR1B,AP1G2,ABHD3,AKIRIN1,AKIRIN2,ABT1,ABHD2,ARPC2,ABCB1,ABCB1,CXXC5,ARL2BP,BTBD1,ABHD17A,ARL4C,ATF1,DECR1,KDM3A,AKIRIN2,MFSD14C,ADI1,CHMP2B,RBM14,CAMTA1,BROX,BATF,ANXA2R,SPON2,BRD3,C6orf62,AGGF1,ADAR,BFAR,CDK6,AK2,DDA1,ABHD2,CAPN2,CYHR1,AKT2,KATNBL1,ZNF37A,CCND2,AXIN1,ATG4B,ALG13,CIB1,JAK1,CHCHD5,DNAJB14,EXOSC1,SAMHD1,ACTR2,AP1S2,ABHD15,ARHGAP4,CAST,IL32,ACOT8,AKAP8,GOPC,CDV3,BRWD1,NDUFS2,CTDNEP1,HSPA5,ACAA2,AATF,CCNG1,ADD3,CEBPD,NKIRAS2,APOBEC3C,CHD1,ACTN4,,LUC7L2,ANAPC16,EI24,RAD9A,ZNF493,ATOX1,ABHD12,SEC31A
CAPN2,TKTL1,ATF1,PTPN11,AGPAT1,APOBEC3G,ADAP1,CYTH1,ABR,HDAC7,ANAPC13,ACTR3,ADPGK,AKR1A1,ARF1,ASAH1,CEP63,TNFAIP8,LRRC41,ADRB2,LIPA,FNBP1,KARS,CWC15,ADGRG1,ADD3,ABLIM1,ADSS,APPL1,ANKHD1,CHIC2,ABHD17A,C4orf3,ACTR3,AIMP1,ACADM,APEH,,ARHGEF1,ADA,B4GALT4,RSBN1,,EIF4EBP1,ARL5A,ARHGAP9,ACAP2,ANKRD36,ACTB,ACYP1,BAG6,ABHD5,AKR1C3,AOAH,ACO2,ACTR3,CARD8,ABCE1,ABHD12,EFHD2,ASL,CSNK1G3,ABHD5,ATF7IP,CCL4,FBL,MAF,ANAPC15,SLC25A42,AFTPH,CNBP,RIPK2,CSGALNACT2,BTN2A1,CAMTA1,AP3M1,,BTF3L4,CAPZA2,AKIRIN1,AIP,C12orf57,CHD3,ALYREF,DOCK10,ABI1,DALRD3,DCTN1,AOAH,PHF14,,CCSER2,CCL4,C5orf15,ANKRD54,EIF5,MAP1LC3B,CSDE1,DPP9,FOSL2,TBPL1,ACTR3,ATG2A,ADGRG1,ARHGEF3,CMC1,LGALS3,ACTB,AKR1B1,MAPK1IP1L,CMPK1,CLASP2,SYF2,FAM76A,RAB5A,ACIN1,ABHD17A,CHD1,AKAP5,DUSP23,USP24,ARHGDIB,CXXC5,ACTR10,,OSER1,C16orf87,INSIG1,,,AURKAIP1,ABHD17A,SUSD6
FBXL5,UBE2E1,ATG3,RASSF3,AKAP5,ARMCX3,AKAP10,ERBIN,ACADVL,MICU2,ANKRD11,ADD1,AIP,ANKRD13D,ARFGAP2,ATP1B3,CHMP2A,VAPA,PCGF5,ANAPC15,RAB9A,KCNAB2,NFKBIZ,DDIT3,ADI1,AIMP1,ABT1,AEBP2,APRT,ANKRD17,CHTOP,ABHD3,C7orf50,ACYP1,AK2,ACOT8,AREG,,BROX,ADGRE5,BAZ2B,SMG6,,PRRC2A,ARL6IP6,ARL4A,ACTG1,AP2M1,ACTG1,ADD3,BBC3,ABRACL,APPL1,ARHGAP25,ACTB,ADAM10,CDC42,ABHD15,ABHD15,GNAS,BEND7,EIF1AD,ABI1,C12orf75,CCNB1IP1,PSTPIP1,PRSS23,ANAPC16,,AGGF1,COMMD3,TNRC6B,EIF3A,FBXL20,CCS,APLP2,,CBX4,KMT2E,AKT1,ANAPC11,C18orf32,CPSF6,ANKRD10,EIF2B4,ACAA2,DCK,ERBIN,AP2A1,RAB27B,,CDS2,CHCHD2,CAMLG,ATP2A2,FBL,SAMD3,EIF2S1,DRG2,HSPA9,,ADAM10,BOLA3,ADRM1,ARID4B,DDX3Y,NONO,ACTR2,ANAPC11,NR1D2,CRADD,FAM200B,,GNAS,ZFYVE16,ACP1,ABRACL,DPP7,AP1B1,FAM214A,YRDC,ARL2BP,GOLGA4,ACTR3,,PSMA3,CCNG1,KBTBD2,,,CALR,ACADVL,TSPAN31
FCGR3A,,BECN1,RNF220,AMD1,ASCL2,ANKRD17,EZR,ACTG1,MSL2,APTX,AGPAT1,ALYREF,APOBEC3G,ATF6,BBX,CHURC1,ZNF511,SENP6,AP1B1,RNF4,KPNA3,NUP107,DNAJC19,AIP,AKAP13,ACBD5,AKAP7,AREG,AP1M1,CMIP,ACAA2,CCDC174,AGTPBP1,ALG13,ADAM10,ARID1B,,CBX6,AHNAK,CD164,ZNF429,,SOCS2,ARPC4,C16orf87,ACTR3,APOL6,ACTR1A,ADGRG1,BLOC1S2,ACTG1,BSDC1,ARID4B,ACTG1,AHSA1,CHD2,ACADM,ABHD17A,GRK2,BIRC2,KLF13,ABLIM1,C1orf21,CNOT8,STX7,TOMM40,AP1M1,,AIP,COPS2,,ERBIN,FCRL6,CFLAR,ATXN7,,CD81,NFKB1,ALKBH5,ANKHD1,CAPN15,DGUOK,ARF4,LMBRD1,ACP1,FAM43A,FBXO34,APOL6,RAD21,,CREM,CHMP2A,CAPZA2,BRD3,FBXO34,SERBP1,EIF4G2,ELK4,KLF6,,ADGRG1,C12orf75,ANKRD10,ASCL2,DDX6,RBM27,ACTR3,ANP32A,NXT1,CYCS,GABPB1-AS1,,GRK6,,ACTB,ACAA1,EXOC7,AP1M1,FNIP1,ZBTB24,ATG3,GPSM3,ACYP2,,RRP15,CDK6,LAGE3,,,CCNI,ACSS1,
GIT2,,C12orf75,SRPRB,APPL1,ATF6,ARID5B,GADD45B,ACYP2,ORAI2,ARAP1,AIP,AP1G2,ARF6,ATG101,BIRC2,CLINT1,,SPOCK2,APOBEC3C,TMEM245,OSBPL5,PIK3R1,FBL,ALDH16A1,ANKRD13A,ACSL5,ALG13,ARHGAP30,APC,CMSS1,ACADM,CCDC69,AKR1C3,AMD1,ADD3,ARL4C,,CCL3L1,AKAP9,CMPK1,,,TMUB2,CAPZA1,CD81,AFF4,ASCL2,ADIPOR2,AFF4,CCDC18-AS1,ACTN4,CBX3,ASB8,ADAR,AKIRIN2,CLK3,ACBD5,ABLIM1,H1FX,BNIP3L,MALSU1,ACTR10,CAPZA2,COQ7,TESC,UBE2E3,APBB1IP,,AKAP8,COX20,,ESCO1,FLT3LG,CSNK1G2,B3GAT3,,CEP290,YPEL5,ARID5B,ANKRD28,CARS,ELF2,ATP8A1,MED31,ACYP2,GABARAPL1,GPATCH8,ARF4,SETD3,,FAM177A1,CNOT8,CKS2,C1orf52,H3F3B,TLE4,FAM204A,HPS1,MCOLN1,,AK2,CARHSP1,ANXA1,ATF7IP,EHMT1,S100B,ADA,AP2S1,OSBPL9,EMC10,KIF2A,,HOPX,,ACTR2,ACAP2,FASTKD2,ARHGAP15,HDLBP,,ATR,HSD17B10,ADAR,,SLC25A36,CHD4,LPIN2,,,CDK10,ADA,
MAPKAPK5,,CA1,TNFRSF14,ARPC1B,ATG4B,ATG101,PPP3CC,ADGRG1,RAB37,AREG,AKAP8L,AP2A1,ARHGEF1,BCL11B,BNIP2,COQ10B,,TAOK3,ARHGAP4,TRIM38,PCED1B-AS1,PNISR,GNB2,ALOX5AP,ANXA11,ADAM10,ALG3,ARID1A,ARL6IP1,CTDSP1,ACADVL,CCDC85B,ANAPC13,AMZ2,AEBP2,ATXN2L,,CD96,ANKRD11,COPB2,,,TUBGCP2,CCZ1,CENPC,AIMP1,ATP6V0E1,AFF4,AGGF1,CCDC69,ACTR1B,CCDC159,ATP6V0B,ADCY7,AKR1A1,COX5B,ACSS1,ABRACL,HSPA5,C15orf40,MARK2,ACTR3,CCM2,CYB5D2,THAP7,ZNF800,APRT,,AKTIP,CPSF6,,FABP5,ITGAM,GRK2,B4GALT4,,DCAF7,YWHAB,BPTF,APBA2,CCL4,EPC1,CBX6,NAPA,ADRM1,JADE1,PDLIM5,ARID1A,SOAT1,,GLTP,COG3,CMTM7,CDV3,HNRNPA2B1,TRPV2,GPATCH8,MACF1,RGS19,,AKAP13,CASP8,ANXA6,ATP6V1E1,EIF5,SIGIRR,ADGRG1,APEX1,RNF44,KLRD1,LRIF1,,KDM4C,,ACYP1,ACSS1,NRDC,ARHGAP9,HECA,,AURKAIP1,LAPTM4A,ADD3,,STK17A,CREBRF,NME4,,,CHURC1,ADAM10,
MNT,,CLN3,,ARPC4,BCCIP,ATP2A2,PRDM2,ADIPOR1,RNF166,ARFGAP2,ALYREF,AP5M1,ARID2,BCL2L12,BTG3,DDOST,,VCP,ARL14EP,TRIM8,PCNT,PPM1K,ID2,AMD1,AP2B1,AGGF1,ANKRD11,ARRB1,ARPC4,EP300,ACSS1,CD320,ANKRD10,ANAPC16,AGO3,BCL9L,,CEP85L,ANKRD13D,DDX17,,,UCHL3,CHMP3,CHD3,AK1,CCL3,AGO2,AKIRIN1,CEP63,ADAP1,CCDC28B,ATXN7L3B,ADD1,ALOX5AP,DIP2A,ACTR2,ACADVL,IRF1,C18orf32,MED23,ACTR6,CCNI,DCAF11,ZFP36L1,,ARF4,,ANKRD49,FBL,,FKBP5,JAKMIP2,HDAC2,C5orf56,,DYM,,C17orf49,APLP2,CD2BP2,ETNK1,CCDC18-AS1,NIFK,AGK,MAPRE2,PIK3AP1,ARID5A,SPTBN1,,IL32,DBNL,COPA,CEP85L,MAN1A1,,KTN1,MED17,SMAD3,,ANAPC15,CCNK,AP2A1,ATXN7,FAM177A1,SUGT1,AFF4,APOBEC3G,SCLT1,LEPROTL1,MYLIP,,LINC01578,,ADAM10,ACTR3,PARP1,ATG101,HSP90AB1,,BCL11B,M6PR,ADGRG1,,,EIF2S3,PRSS23,,,COX20,ADGRE5,
