ATF1_(+),BATF_(+),BPTF_(+),CEBPB_(+),CEBPD_(+),CEBPG_(+),CREB1_(+),CREM_(+),CTCF_(+),CXXC1_(+),DRAP1_(+),E2F4_(+),ELF1_(+),ELF2_(+),ELK4_(+),EOMES_(+),EP300_(+),ETS1_(+),ETV3_(+),FLI1_(+),GATA3_(+),HMGA1_(+),HOXB2_(+),IKZF1_(+),IKZF2_(+),IKZF3_(+),ILF2_(+),ING4_(+),IRF2_(+),IRF3_(+),IRF7_(+),IRF8_(+),KLF11_(+),KLF3_(+),MAZ_(+),MXD1_(+),NFATC2_(+),NFATC3_(+),NFYB_(+),NFYC_(+),NR1H2_(+),PHF20_(+),RBPJ_(+),RELA_(+),RUNX1_(+),RXRB_(+),STAT1_(+),STAT2_(+),STAT6_(+),TAF6_(+),TBX21_(+),TFDP1_(+),TFDP2_(+),THAP1_(+),THRA_(+),USF2_(+),VEZF1_(+),XBP1_(+),YBX1_(+),YY1_(+),ZBTB11_(+),ZBTB7A_(+),ZNF274_(+),ZNF518A_(+),ZNF580_(+),ZNF595_(+)
0.24080895050163176,0.24535513103548634,0.23679946477797553,0.23799801844312662,0.23915572819328035,0.23902617694478978,0.23677784182995343,0.2374801909453148,0.23702910048033077,0.24688066447312773,0.23819913224941802,0.2365718558506814,0.23882845883588988,0.2393532138418034,0.23522890924713113,0.24066102287896962,0.23741943478685523,0.24138271662058886,0.2354106685886158,0.23767906808093497,0.23865918835874855,0.23711369876973754,0.2378975693427161,0.2412378845443457,0.2481147914609365,0.24069288664754318,0.2423953104810469,0.23591997786163876,0.24014404856433702,0.24292216656138677,0.2419422493149277,0.23774961135877948,0.24134505334570433,0.23515717633209177,0.23839351593986535,0.23954319548081637,0.2399285421811307,0.24052587674605397,0.23713632947039354,0.24254126709296164,0.23691761593679328,0.2411656814834119,0.23909681103559322,0.24542464590623614,0.2472261341849128,0.23983984977460093,0.23750854243672426,0.23835584828217182,0.23528120915186512,0.23627324483610113,0.24135352353969475,0.24377430880860362,0.24355394654335172,0.23524349154049762,0.23720186220048678,0.24091778867747515,0.23872740158134553,0.24163446694076107,0.2448984192125584,0.24041005772711854,0.2357198546353957,0.24130165740648313,0.2367906825771302,0.24630429908933105,0.2373242708362301,0.23843213656083184
ANKRD28,AASDHPPT,ABI1,ABHD17A,ABHD17A,ALDOA,ARL4A,ABHD13,ANKHD1,ADPGK,ADAR,AK3,ABHD15,ADCY7,ACTN4,AATF,ADD3,ABHD17A,ABT1,AKAP9,ABI3,ACAT1,ACAA1,ABHD16A,ANKRD49,AATF,ABT1,ACAA2,BOD1L1,ABCD4,ACTB,AMD1,ANKRD12,ABHD17A,AAK1,ATM,AAMP,AURKAIP1,AKAP13,ACTR3,ARL6IP1,ACAA2,ALKBH5,ADGRG1,C16orf91,ARPC2,AIMP1,CFL1,ABHD14B,CSNK2A1,ADD3,CTDP1,ACTR2,ACTG1,ADAR,ABHD13,EMP3,AATF,ACAA2,AAK1,ABCF1,ABHD17A,ARL4A,ADA,ABI1,ANKRD12
ATG3,ADAP1,ABLIM1,ACBD6,ACTB,ANP32E,AUTS2,ANAPC10,CAST,ANKRD28,ADD3,ARL4A,ABT1,ADSS,ACTR3,ABHD15,AHNAK,ABHD3,ANAPC16,ANXA6,ADA,ACTG1,ALDOA,ACO2,APOL6,ACAP2,ACP1,C1orf43,DDX3Y,ACTR3,ADD3,ANKRD49,ANKRD28,ADH5,ACSS1,CHCHD7,ABHD17A,BRAF,ANKRD28,ANAPC15,BAZ2B,ACYP1,ANXA2R,ATG4B,ERICH1,ASCC3,ANXA6,DDA1,ARID4B,HBB,ADGRG5,DHRS3,ACTR6,ACTN4,ARHGAP15,ACTR2,ENY2,ABHD17A,ACTB,AATF,ACTG1,ACTR3,EIF3G,ARL6IP5,ACAP2,B4GALT1
BIN1,ADD1,ACADM,ACTG1,ACTR3,BRD2,CALM1,ANKH,CLIP1,BNIP2,ADI1,BCLAF1,ACAP1,AKAP9,ANAPC13,ACO2,AP3S1,ADAM8,AP2B1,ANXA7,ADIPOR1,ADA,ALKBH7,ACTB,CASP10,ACTB,ACTR10,CD3E,DDX6,ANP32E,AP2S1,ATF1,ATXN7,AKAP8L,AGTPBP1,DAZAP2,ABTB1,CHP1,CASP1,ARHGAP1,BTG2,ADIPOR1,ASL,ATRX,HIGD2A,BCL11B,AP2A1,DOK2,ATF7IP,MRFAP1,AFF4,DYM,ADD3,ADCY7,BHLHE40,AKAP9,GCHFR,ABR,CARHSP1,ABHD17A,AKR1B1,ACTR6,GCC2,ATP2B4,ACTR3,BLOC1S1
CD164,ANKRD40,ACIN1,ACTR1B,ADA,C1orf21,CCSER2,ARPC3,CRIPT,CDCA4,ALOX5AP,BFAR,ACO2,ANAPC11,ANKHD1,ACTB,ARHGAP9,AFF4,CCNL1,APOBR,AIMP1,ADAM10,AP2M1,ACTG1,CD48,ACTG1,ACTR2,CMC2,DENND1B,ARID5A,ARF6,ATP1B3,BIRC6,AKIRIN2,AHNAK,DOCK8,ADD3,MRPS34,CNOT4,ARHGAP4,CCDC88C,AKR1B1,ATG5,DHX36,MRPL16,CA1,ATG12,GNPTAB,ATP6V1E1,MRPL23,AGTRAP,HMGA1,ADGRG1,ALG13,CAMLG,ANKRD12,HIPK1,ACTR3,CD74,ACAA1,ALKBH7,ADAP1,GFM1,BAX,AKT1,CCNI
CLN3,ARF4,ADAP1,AKT2,ADH5,CEBPG,CREB1,B4GALT4,FRG1,CXXC1,AMD1,CD2BP2,ACTB,ANKRD11,ANP32A,ACTG1,ARPC1A,AGGF1,CISD3,APOL6,AKAP9,ADCY7,APMAP,ACTR3,CFLAR,ACTR3,AGK,COX14,EIF5A2,ARRDC3,ARHGAP1,ATXN1L,C1orf21,ANKRD13A,AK3,EIF2A,ANKRD44,NAA60,DCP2,BCL7B,CCND2,ALG5,BCAP31,IKZF1,PDIA6,CMC1,ATG4B,HMOX2,B9D2,PIN1,AHNAK,IP6K1,AIP,ANXA2R,CMC1,CDC42SE2,LAIR1,ADH5,CORO1A,ACAP2,CANX,ADAR,GGA1,C17orf49,ANKRD28,CCT8
COMMD8,ATF7IP2,ANKRD40,ALYREF,ADI1,CNDP2,EGLN2,BAZ2B,FUNDC2,DDX17,ANXA1,CFDP1,AKAP8,ANP32B,AP2A1,ACTR2,ATOX1,AHSA1,CTSD,ARL4A,AKR1B1,ADD3,ARPC4,ADAM10,CNBP,ACYP1,ALDOA,COX5B,FBL,ATP1B3,ARL6IP5,CAPZA2,C6orf62,AP1B1,AKTIP,F2R,ANXA2R,RABL2B,DGKZ,CABIN1,CDC26,ALYREF,BTF3,MOB3A,PHTF1,CTNNBIP1,BAG5,MIB2,BAZ2A,PPP1CB,AHSA1,KRTCAP2,AKAP9,ARHGAP9,CSNK1A1,CGGBP1,POMGNT1,ADSS,COTL1,ACBD6,CDC42SE2,ADD3,GPBP1L1,CCL4,ANXA4,CEBPZ
CREM,ATP11B,AOAH,AMD1,AKIRIN2,COQ10B,FNIP1,BECN1,HMGXB4,EIF3G,APOBEC3G,CHRAC1,ALAS2,ANXA1,APPL1,ADAM10,AURKAIP1,AKNA,DNAJB6,ARL6IP5,ALG5,ADK,BRD7,ADIPOR1,COX5B,AKTIP,ANKHD1,CSDE1,FRG1,BIN3,ARPC2,CCAR1,CCNH,ARAP2,ALOX5AP,FBXO33,AP3B1,RHOT1,DIAPH1,CALR,CFAP20,ANAPC15,C18orf32,RELA,RUNX1,DNTTIP2,BTN2A1,MLF2,BLOC1S6,SIGIRR,AIP,MAP7D1,AKIRIN1,ARID5B,DDX5,CHCHD5,PSMB7,AGTRAP,GPX4,ACP1,CERS5,ADGRG1,HHEX,CCNC,AP1S2,CEP57
DENND3,BPTF,ARGLU1,ANKRD13A,ALG13,DDAH2,HNRNPR,BTBD1,HNRNPF,HAGH,ARF5,CMPK1,ALG13,AP2M1,ARHGEF3,ADD1,BAK1,ALG13,EIF1,ATP2B4,ANAPC16,AKAP9,CARD16,AP1S2,DTHD1,ANKRD10,APEX1,DEF6,G3BP2,BPGM,ARPC4,CCNT1,CHD9,ARF6,ANKRD11,GAPVD1,APLP2,RPS19,DNAJC4,CD247,CNBP,ANKRD11,CAMTA1,SPSB3,SFT2D1,EIF3F,CDC5L,NORAD,CBX5,SIRT2,AKIRIN2,MRPL57,ANAPC15,ARL6IP6,GAS5,CREM,RPS6KA5,AKTIP,HMGB2,ACSS1,CIR1,ADH5,HMGN3,CCT4,ARHGAP30,CREM
DOCK10,CABIN1,ARID5B,AP1G1,ALKBH7,DDX6,NCK1,C9orf16,HOTAIRM1,HSPA9,ARHGDIA,CNOT8,ALG5,APRT,ARID1A,AGTRAP,BLOC1S2,ALYREF,ETV3,BTG3,ANAPC5,ALG5,CCDC186,ARF4,EMC3,ANXA7,ARHGDIB,EEF1B2,ISY1,C12orf10,ASB8,CCS,DRAM2,ARFGAP3,ANP32B,GCC2,ARHGAP4,SEC61A1,EIF3A,CD63,COX7C,ANKRD13D,CBX1,UBE2L3,SLU7,EIF4A2,CMTM6,NUP210,CD83,TAF6,AKR1C3,NUDT1,ANP32A,ATG12,KANSL2,DALRD3,SVBP,ANAPC16,NPM1,ACTB,CIRBP,AIP,ICAM3,CHURC1,BIN2,CTBP2
