ATF1_(+),ATF4_(+),BATF_(+),BCLAF1_(+),BHLHE40_(+),BPTF_(+),CEBPB_(+),CEBPD_(+),CREM_(+),CXXC1_(+),DRAP1_(+),E2F4_(+),EGR1_(+),ELF1_(+),ELF2_(+),ELK4_(+),EOMES_(+),EP300_(+),ETS1_(+),ETV3_(+),FLI1_(+),FOS_(+),FOSB_(+),GATA3_(+),HMGA1_(+),HOXB2_(+),IKZF1_(+),IKZF3_(+),ILF2_(+),ING4_(+),IRF1_(+),IRF3_(+),IRF7_(+),JUN_(+),JUNB_(+),JUND_(+),KLF10_(+),KLF11_(+),KLF13_(+),KLF2_(+),KLF3_(+),MAF_(+),MAFF_(+),MAZ_(+),NFATC2_(+),NFATC3_(+),NFKB1_(+),NFYC_(+),NR1H2_(+),NR3C1_(+),PHF20_(+),RBPJ_(+),RUNX3_(+),RXRB_(+),STAT1_(+),STAT6_(+),TAF6_(+),TBX21_(+),TFDP1_(+),TFDP2_(+),THAP1_(+),THRA_(+),USF2_(+),XBP1_(+),YBX1_(+),YY1_(+),ZBTB11_(+),ZBTB25_(+),ZBTB7A_(+),ZNF274_(+),ZNF518A_(+),ZNF580_(+),ZNF595_(+)
0.7900319571430539,0.8579947065193865,0.8003060524363098,0.7843537563729142,0.820611315596107,0.8341473066608809,0.849521576716191,0.8434155296291952,0.8097372671040127,0.8091068272626613,0.8515343825725679,0.7754506651767235,0.8621899012860035,0.8527656027362698,0.8502916061029459,0.8517449291792155,0.8476139800860438,0.8222342113052579,0.8465322834790128,0.8474779798687251,0.831740784602864,0.8591649683124251,0.8599212010450439,0.8504113177268824,0.850476176628309,0.8340784065223091,0.8294240805451409,0.8443380175889872,0.8441920928376125,0.8502594812232923,0.8614113732595432,0.7946642038439202,0.8386257502929435,0.857482043576413,0.859620230356192,0.853132131785884,0.8267173480500686,0.8027825175344664,0.8147817031524004,0.8578737246662076,0.8458566730120818,0.8105240474565185,0.8643655640556629,0.8423364746220521,0.8420699409951782,0.8181792018016653,0.8147369338220918,0.814316211065546,0.7921676245975033,0.8367022613148839,0.8419242850181733,0.8456336731591806,0.8320413487815468,0.8159383147958127,0.8354737846726314,0.7991231279620061,0.7858322846730568,0.8415195957171329,0.8020633575116196,0.8134333052971154,0.822668251047483,0.8417704774886257,0.8056681451638379,0.8408612605704406,0.8281303336116571,0.849540410387609,0.8315077291080563,0.8367469782846128,0.8435490937791492,0.8133135221910976,0.8153152328944195,0.831510412688218,0.8342955958730862
ANKRD28,AASDHPPT,AASDHPPT,ABHD17B,ABHD5,ABI1,ABHD17A,ABHD17A,ABHD13,ADPGK,ADAR,AK3,ACTR3,ABHD15,ADCY7,ACTN4,AATF,ADD3,ABHD17A,ABT1,AKAP9,ABCE1,AHI1,ABI3,ACAT1,ACAA1,ABHD16A,AATF,ABT1,ACAA2,AIMP1,ABCD4,ACTB,AAK1,ABHD15,ACAA1,AATF,ANKRD12,ABLIM1,ABHD17A,ABHD17A,AKAP13,BHLHE40,AAK1,AAMP,AURKAIP1,ACO2,ACTR3,ARL6IP1,ACTR1B,ACAA2,ALKBH5,ADD1,ARPC2,AIMP1,ABHD14B,CSNK2A1,ADD3,CTDP1,ACTR2,ACTG1,ADAR,ABHD13,AATF,ACAA2,AAK1,ABCF1,BIN2,ABHD17A,ARL4A,ADA,ABI1,ANKRD12
ATG3,ABCA5,ADAP1,BCLAF1,ANKRD11,ABLIM1,ACBD6,ACTB,ANAPC10,ANKRD28,ADD3,ARL4A,ADK,ABT1,ADSS,ACTR3,ABHD15,AHNAK,ABHD3,ANAPC16,ANXA6,ABHD15,ANKHD1,ADA,ACTG1,ALDOA,ACO2,ACAP2,ACP1,C1orf43,ATP6V0B,ACTR3,ADD3,ABRACL,ABHD16A,ACTG1,ABHD17B,ANKRD28,ACTR3,ABLIM1,ADH5,ATP11B,CSNK1G2,ACSS1,ABHD17A,BRAF,CAST,ANAPC15,BAZ2B,ANXA11,ACYP1,ANXA2R,ADRB2,ASCC3,ANXA6,ARID4B,HBB,ADGRG5,DHRS3,ACTR6,ACTN4,ARHGAP15,ACTR2,ABHD17A,ACTB,AATF,ACTG1,CMC1,ACTR3,EIF3G,ARL6IP5,ACAP2,B4GALT1
BIN1,ACTG1,ADD1,CAPRIN1,ANKRD12,ACADM,ACTG1,ACTR3,ANKH,BNIP2,ADI1,BCLAF1,AFTPH,ACAP1,AKAP9,ANAPC13,ACO2,AP3S1,ADAM8,AP2B1,ANXA7,ACP1,ANXA1,ADIPOR1,ADA,ALKBH7,ACTB,ACTB,ACTR10,CD3E,B2M,ANP32E,AP2S1,ACBD5,ABHD17A,ACTR3,ACTR3,ATXN7,AKT2,ACTN4,AKAP8L,C20orf27,CSRNP1,AGTPBP1,ABTB1,CHP1,CD63,ARHGAP1,BTG2,ARHGEF9,ADIPOR1,ASL,ANKRD28,BCL11B,AP2A1,ATF7IP,MRFAP1,AFF4,DYM,ADD3,ADCY7,BHLHE40,AKAP9,ABR,CARHSP1,ABHD17A,AKR1B1,COX7C,ACTR6,GCC2,ATP2B4,ACTR3,BLOC1S1
CD164,ADAM10,ANKRD40,CCNI,APOBEC3G,ACIN1,ACTR1B,ADA,ARPC3,CDCA4,ALOX5AP,BFAR,AKAP8,ACO2,ANAPC11,ANKHD1,ACTB,ARHGAP9,AFF4,CCNL1,APOBR,ACTR2,AP2S1,AIMP1,ADAM10,AP2M1,ACTG1,ACTG1,ACTR2,CMC2,BTG1,ARID5A,ARF6,ACTG1,ABRACL,ADAR,APPL1,BIRC6,ANKRD12,ADD3,AKIRIN2,C5orf56,CTDP1,AHNAK,ADD3,MRPS34,COX4I1,ARHGAP4,CCDC88C,ATP6V1F,AKR1B1,ATG5,ARAP2,CA1,ATG12,ATP6V1E1,MRPL23,AGTRAP,HMGA1,ADGRG1,ALG13,CAMLG,ANKRD12,ACTR3,CD74,ACAA1,ALKBH7,DCK,ADAP1,GFM1,BAX,AKT1,CCNI
CLN3,ADAP1,ARF4,CNBP,ARAF,ADAP1,AKT2,ADH5,B4GALT4,CXXC1,AMD1,CD2BP2,ALDOA,ACTB,ANKRD11,ANP32A,ACTG1,ARPC1A,AGGF1,CISD3,APOL6,ADD3,ARF4,AKAP9,ADCY7,APMAP,ACTR3,ACTR3,AGK,COX14,BTG2,ARRDC3,ARHGAP1,ACTR3,ACBD5,AGK,BAZ1B,C1orf21,ANXA4,ADIPOR2,ANKRD13A,CDC5L,CTSO,AK3,ANKRD44,NAA60,CXCR4,BCL7B,CCND2,BIRC2,ALG5,BCAP31,ARHGDIB,CMC1,ATG4B,B9D2,PIN1,AHNAK,IP6K1,AIP,ANXA2R,CMC1,CDC42SE2,ADH5,CORO1A,ACAP2,CANX,DDX18,ADAR,GGA1,C17orf49,ANKRD28,CCT8
COMMD8,AGTRAP,ATF7IP2,EPC1,ARIH1,ANKRD40,ALYREF,ADI1,BAZ2B,DDX17,ANXA1,CFDP1,AMZ2,AKAP8,ANP32B,AP2A1,ACTR2,ATOX1,AHSA1,CTSD,ARL4A,ADIPOR1,ARHGAP9,AKR1B1,ADD3,ARPC4,ADAM10,ACYP1,ALDOA,COX5B,CCNI,ATP1B3,ARL6IP5,ADAM8,ACTR10,AIP,BZW1,C6orf62,AP3D1,AGGF1,AP1B1,CLASRP,CYB5D2,AKTIP,ANXA2R,RABL2B,DNAJA1,CABIN1,CDC26,BZW1,ALYREF,BTF3,ARHGEF3,CTNNBIP1,BAG5,BAZ2A,PPP1CB,AHSA1,KRTCAP2,AKAP9,ARHGAP9,CSNK1A1,CGGBP1,ADSS,COTL1,ACBD6,CDC42SE2,EIF5B,ADD3,GPBP1L1,CCL4,ANXA4,CEBPZ
CREM,AHSA1,ATP11B,EZH2,ARSG,AOAH,AMD1,AKIRIN2,BECN1,EIF3G,APOBEC3G,CHRAC1,ANP32B,ALAS2,ANXA1,APPL1,ADAM10,AURKAIP1,AKNA,DNAJB6,ARL6IP5,AFTPH,ARHGDIA,ALG5,ADK,BRD7,ADIPOR1,AKTIP,ANKHD1,CSDE1,CD81,BIN3,ARPC2,AK3,ACTR1B,AKTIP,C1GALT1,CCNH,ARHGEF3,ALOX5AP,ARAP2,CLEC2B,DENND1C,ALOX5AP,AP3B1,RHOT1,DNAJB14,CALR,CFAP20,CATSPER1,ANAPC15,C18orf32,ARL4C,DNTTIP2,BTN2A1,BLOC1S6,SIGIRR,AIP,MAP7D1,AKIRIN1,ARID5B,DDX5,CHCHD5,AGTRAP,GPX4,ACP1,CERS5,FBL,ADGRG1,HHEX,CCNC,AP1S2,CEP57
DENND3,AKAP8,BPTF,FBXW7,ATF7IP2,ARGLU1,ANKRD13A,ALG13,BTBD1,HAGH,ARF5,CMPK1,AP2B1,ALG13,AP2M1,ARHGEF3,ADD1,BAK1,ALG13,EIF1,ATP2B4,ALG13,ATAD2,ANAPC16,AKAP9,CARD16,AP1S2,ANKRD10,APEX1,DEF6,DNAJB6,BPGM,ARPC4,AKT2,ACYP2,ALYREF,CANX,CHD9,ARIH1,ANXA1,ARF6,GNAI3,DUSP1,ANKRD11,APLP2,RPS19,DNAJC19,CD247,CNBP,CCL5,ANKRD11,CAMTA1,ARNTL,EIF3F,CDC5L,CBX5,SIRT2,AKIRIN2,MRPL57,ANAPC15,ARL6IP6,GAS5,CREM,AKTIP,HMGB2,ACSS1,CIR1,FKBP11,ADH5,HMGN3,CCT4,ARHGAP30,CREM
DOCK10,AKR1A1,CABIN1,FNDC3B,ATP6V0E2,ARID5B,AP1G1,ALKBH7,C9orf16,HSPA9,ARHGDIA,CNOT8,APRT,ALG5,APRT,ARID1A,AGTRAP,BLOC1S2,ALYREF,ETV3,BTG3,AMD1,ATP2A3,ANAPC5,ALG5,CCDC186,ARF4,ANXA7,ARHGDIB,EEF1B2,EEF1A1,C12orf10,ASB8,AMD1,ADAR,ANKRD11,CCNI,DRAM2,ARL2BP,APMAP,ARFGAP3,IDI1,DUSP2,ANP32B,ARHGAP4,SEC61A1,EFCAB14,CD63,COX7C,CD69,ANKRD13D,CBX1,ATP1B3,EIF4A2,CMTM6,CD83,TAF6,AKR1C3,NUDT1,ANP32A,ATG12,KANSL2,DALRD3,ANAPC16,NPM1,ACTB,CIRBP,JUN,AIP,ICAM3,CHURC1,BIN2,CTBP2
