ATF1_(+),ATF3_(+),ATF4_(+),ATF5_(+),BACH1_(+),BCL11B_(+),BCLAF1_(+),BPTF_(+),CEBPB_(+),CEBPD_(+),CHD1_(+),CLOCK_(+),CREB1_(+),CREB3_(+),CREB3L2_(+),CREM_(+),DBP_(+),E2F3_(+),E2F4_(+),E2F6_(+),EGR1_(+),ELF1_(+),ELF2_(+),ELF4_(+),ELK1_(+),ELK3_(+),ELK4_(+),EOMES_(+),EP300_(+),ESRRA_(+),ETS1_(+),ETV3_(+),ETV6_(+),FLI1_(+),FOS_(+),FOSB_(+),FOSL2_(+),FOXJ2_(+),FOXO1_(+),GABPA_(+),GABPB1_(+),GATA3_(+),GATAD1_(+),HDAC2_(+),HMGA1_(+),HOXA10_(+),HTATIP2_(+),IKZF1_(+),IKZF2_(+),IKZF3_(+),ILF2_(+),IRF1_(+),IRF4_(+),IRF7_(+),IRF8_(+),IRF9_(+),JUN_(+),JUNB_(+),JUND_(+),KLF10_(+),KLF12_(+),KLF3_(+),KLF9_(+),KMT2B_(+),MAFF_(+),MAFG_(+),MAFK_(+),MAX_(+),MAZ_(+),MBD2_(+),MECP2_(+),MLX_(+),MYC_(+),MZF1_(+),NFATC2_(+),NFIL3_(+),NFKB1_(+),NFKB2_(+),NFYC_(+),NR2C2_(+),NR3C1_(+),PHF1_(+),PHF20_(+),POU2F1_(+),PURA_(+),RARA_(+),REL_(+),RELB_(+),RFX5_(+),RFXANK_(+),RXRA_(+),RXRB_(+),SATB1_(+),SMARCC2_(+),SP1_(+),SP3_(+),SREBF2_(+),STAT1_(+),TBP_(+),TBX21_(+),TCF12_(+),TCF3_(+),TFDP1_(+),TFDP2_(+),TFEB_(+),THAP1_(+),THAP11_(+),USF2_(+),XBP1_(+),YBX1_(+),YY1_(+),ZBTB11_(+),ZBTB14_(+),ZBTB21_(+),ZBTB25_(+),ZBTB33_(+),ZBTB37_(+),ZBTB7A_(+),ZEB1_(+),ZFX_(+),ZFY_(+),ZNF100_(+),ZNF25_(+),ZNF267_(+),ZNF407_(+),ZNF431_(+),ZNF518A_(+),ZNF580_(+),ZNF611_(+),ZNF740_(+),ZNF770_(+)
0.5321708678033832,0.5260770019920225,0.5321751382192961,0.5232804712105088,0.5368254251039299,0.5021490369532831,0.5441785205292058,0.5149391904622223,0.5334881946665866,0.5151212060922882,0.541490415368173,0.5111700909891279,0.5083618295816464,0.5257218686382934,0.5247210262319608,0.5408457955498048,0.5025327110358504,0.5260935215563272,0.5116836580175368,0.5069289909666759,0.5465243756461705,0.5353332952361574,0.5412369113318134,0.5173549761512277,0.5012867552732185,0.5227875985994936,0.5160849687879626,0.523728461982577,0.518428442277234,0.5216903979628387,0.5195771973555213,0.5531704480884543,0.5184016019197444,0.5352591536410123,0.5417060622596059,0.5356934586221884,0.5482081446994662,0.5219732434492521,0.5335044171481756,0.5214538502832173,0.5361627532337281,0.5346506074163994,0.5060656784783861,0.5371080336480631,0.5194145325958492,0.5050223937872986,0.5061927971787628,0.5053943728854471,0.5309250859546963,0.5077144556231394,0.5400927357060594,0.5309952265368227,0.5313301062816864,0.5042058445480244,0.5671531898630127,0.5048889782719836,0.5459496127879526,0.5586893167462561,0.5322398615770336,0.5739325632831238,0.5126696139904842,0.5328739696005466,0.5343224261385472,0.5149545503777098,0.5631950690712249,0.5193716699758246,0.5350494771919023,0.5363014761693794,0.5068646364848763,0.5198257477990287,0.5220166835245095,0.5230425954593996,0.5254720344699252,0.5146791173378352,0.5464411354599229,0.5449202875182424,0.555982853109409,0.5388528069602638,0.5358740854360384,0.5174904330496434,0.5253494289876013,0.5345341270533399,0.5350710077939306,0.5140545946100148,0.5061628537368377,0.5340540111889029,0.5740259954926874,0.5378090071265613,0.5317173946979277,0.5092583672744296,0.5386307478016592,0.5370066411372879,0.5181457996887475,0.5274481319989366,0.5184936727789384,0.5527223353910924,0.5375842803582076,0.5043015301102418,0.5300924581778156,0.5306078964981864,0.5190600718983098,0.5329870923298115,0.5275666634839107,0.5231317547654937,0.5107767693501821,0.5085376240470934,0.5185575019530965,0.5009687342038109,0.5358234680353442,0.52731002337734,0.5167968285709671,0.5226722215434902,0.5168669804101196,0.5516070372997602,0.5047562837903603,0.5474400308367184,0.50816136859481,0.5014892999104373,0.538449335171999,0.5179402536984234,0.5292234943086314,0.5010843806944268,0.514415208582075,0.5293707911253179,0.5319780951027909,0.5109151640191812,0.5137866659538399,0.5264910852066189,0.5050722280762441,0.5069281244982371,0.5065527969755863
ABCF3,A1BG,ANKMY1,ADIPOR1,ABHD13,ACBD3,AAMP,ABI2,AARSD1,A1BG,AFF4,AFTPH,CAB39,A1BG,ACIN1,AAR2,ARHGAP12,ABCE1,ACTR3,ARHGAP25,ABCF1,AAR2,ABCA5,ABCB8,AASDH,ABHD18,ABLIM1,ACAD9,AAK1,ABCF2,A2M,ACAT1,AASDHPPT,ABCB1,AAMDC,ABRACL,AASDH,AKAP10,ABR,ABCB7,AAGAB,AKR1B1,A2M-AS1,ACAA2,NCOA3,AARSD1,ANAPC5,ABI1,ABHD2,ABR,AAR2,AATF,ABRACL,AAAS,AREG,AAMP,AAR2,AAR2,AASDHPPT,AFF4,ADD3,ADD3,ABHD13,ABAT,ADH5,CA5B,AKAP11,ABCF1,AAK1,AAK1,AASDHPPT,AIF1,ACTG1,ABI3,ACER3,ACSL3,AAGAB,AAGAB,ACAA2,ACO1,AAR2,ABLIM1,ABCD4,ABRACL,AAAS,AFF4,ADAM17,AHR,AAMDC,ACTB,AASDHPPT,AAGAB,CMIP,A2M,ABLIM1,ABI1,ABHD17B,AAMP,AFF1,ABCC1,ACSL4,ADIPOR2,AASDHPPT,A2M,ACOT8,ADIPOR2,ACBD5,ABHD17A,AAR2,AAMDC,AAK1,A2M,ABCD4,ACD,ABHD5,AGTPBP1,AASDHPPT,AAK1,AGPAT5,ABI2,ABI2,ACAT2,ACTA2,ADAM17,ABHD18,ACAP2,ACTR2,AASDHPPT,ABI2,ANAPC5,CSGALNACT2
AHCTF1,ABHD17A,ARFGAP3,AREG,AGPS,ACTR2,ABCF1,ACTR6,AASDHPPT,AAR2,AKAP9,AGO1,CASP10,ABRACL,ACP1,ABCF1,ARHGEF7,ABHD4,ALOX5AP,CASP10,ABT1,AASDH,ABCF3,ABHD18,ABHD12,AGO3,ACAT1,ACTB,AARS,ATP5G2,AAAS,ACTR5,ABHD4,ABCE1,AATF,ACAA2,ABCF1,ARHGAP9,ADAR,ABHD18,ABCC1,ALDH3A2,ABCA7,ACOT8,RACK1,ABHD5,APPL2,ACO1,AHI1,ACAP2,ABCE1,ABCC10,ACSS1,AAGAB,CD160,ABCE1,ABHD12,AASDHPPT,ABCC1,AHR,ADO,AMPD2,ABHD17B,ABCD4,ALKBH3,CALM1,ARAP2,ABHD11,ABCA5,ABCA5,ABI2,ANAPC13,AK3,ABL1,ACTL6A,AGK,AARS,AARS,ACTB,ACTR6,AASDH,ABR,ABHD13,AKT3,AASDH,AKIRIN2,AGO2,AREG,AASDH,AP1M1,ABHD17B,ACAP2,CXCR4,ACOT7,ABRACL,ACOT9,ABI2,AAR2,ANKRD11,ABCD3,ADCY7,AK2,ABLIM1,ABCE1,ATP5I,APC,ACTR2,ABR,ABCF1,ABCE1,AATF,ABCC10,ABR,ADCY9,ACTL6A,ANAPC1,ADD3,AAMP,BAHD1,ACTA2,ABL1,ALOX12-AS1,ACTR2,ADO,AGFG1,ACSL4,ACTR8,ABCA7,ABLIM1,B3GALT4,EMD
ALKBH5,ACADM,ATF4,ASCC3,AHR,ADAR,ABHD13,ADD3,AATF,AASDHPPT,AKIRIN1,AHCTF1,CD164,ACADM,ACYP2,ABCG1,BPGM,ACTA2,AMIGO2,CCL3,ACO2,AATF,ABHD11,ACSL3,ABHD17A,AKAP7,ACSF3,ACTG1,ABHD10,CD59,AAGAB,ADAM17,AGO1,ABHD3,ABCG1,ACO2,ABHD4,ASCC3,ADH5,ABI3,ABI2,ARHGAP15,ABHD11,ACTR6,RPL18A,ABI1,ARMT1,ACTN4,AMMECR1L,ACSL4,ACAD9,ABCF1,ADGRG1,ABHD15,CD164,ABCF1,ABHD18,ABRACL,ABCE1,ALDOC,AKT3,AP1G2,ABHD5,ABCF1,ANKRD10,DYRK2,ARF3,ABHD5,ABI1,ABCB7,ACAP2,ATP2A3,ANXA7,ACAA2,ADA,AGTPBP1,ABCC1,AASDHPPT,ADAM8,ADAR,AASDHPPT,ABRACL,ABL1,ANKRD46,ACSL4,ANKH,AHSA1,ASNSD1,ACTA2,ARHGAP19,ABR,AMMECR1,NADK2,ACOT8,ACYP2,ADAM17,ACOT8,AASDHPPT,AP1AR,ABCE1,AHSA1,ARMC1,AKAP5,ABCF1,BAX,BCL10,AFTPH,ABRACL,ACP5,ABHD17A,ABCC10,ACAA2,ADD1,ADK,ADD3,ARL4A,AGPAT4,ABCA2,BRMS1,ADD1,ACSL4,ANAPC11,AFF1,AGFG1,AKIRIN2,ADAR,ADRM1,ABHD13,ACSL5,CEP250,EXOSC9
ANXA2,ACIN1,BUD31,ATF5,AIMP2,AGAP2,ABHD17A,ALDH18A1,ABHD17A,ABCF1,AKIRIN2,AK6,CREB1,ACP1,ADAM17,ABHD15,C17orf80,AGGF1,ANKRD49,CCL3L1,ACOT13,ABCE1,ACAP2,ACTA2,ACAA1,AKIP1,ACTR8,ACTL6A,ABHD17B,ETNK1,AAK1,ADH5,ARHGEF9,ABRACL,ABI1,AKR1A1,AFTPH,ATP2C1,AGO3,ABLIM1,ACSL4,ARRB2,ABHD16A,ALKBH3,RPS13,ACADM,ATE1,ACTR2,BBC3,ACTR3,ACOT7,ACAA1,AGK,ABTB1,CD7,ACADVL,ABI1,ACAT2,ABCG1,ARL1,AMFR,ARHGAP5,ADNP,ABLIM1,ANKRD17,EIF5B,ARHGAP5,ACADM,ACOT7,ABCG1,ACTR3,BRI3,AP1S1,ANKRD27,ADPRHL2,AKAP5,ABCF1,ABCC1,AGO1,ADGRG5,AATF,ADIPOR2,AES,APBA3,ACTR2,ANXA11,AK2,ATF1,ACTB,ARHGDIB,ACOT4,AMN1,NR4A2,ADSL,AIF1,ASCC3,ACSF3,AATF,APOBEC3F,ABI1,AKAP11,ASB1,ANAPC1,ACAD9,BBC3,BLOC1S6,AIP,ACOT7,ACTL6A,ABI1,ABHD16A,ACO2,AHCTF1,AGO2,ALDH18A1,ATP6V0D1,AMIGO2,ABCF3,CARNMT1,AEBP2,ADAM10,ATXN1L,AP3B1,AGL,ANO6,ADD3,AFTPH,ABL1,ATM,CHMP2A,G3BP2
APPL1,ADAM17,C11orf24,BCL2,AKAP9,AGPAT4,ABHD4,ALG13,ACSS1,ABHD15,ANAPC4,AKAP9,CYFIP2,ACTG1,ALG13,ABHD2,C2orf69,AGO1,ARHGAP12,CCL4,ACP5,ABCF1,ACTR2,ADD1,ACADSB,ALG13,ACYP2,ACTR10,ABHD2,FOS,ABCB7,ARFGEF2,ARID5B,ACAP1,ABLIM1,ANXA2R,AGK,BCOR,ANKH,ACTR3,ACTR3,C12orf73,ABI1,ANXA11,RPS23,ACTA2,ATG12,ACTR3,BHLHE40,ADAM10,ACTR3,ACAP2,AHR,ACAA2,COIL,ACAT2,ABLIM1,ACBD5,ABHD17A,BEX2,ANP32B,ARL4C,ADSS,ACTA2,AP1B1,ESF1,ARHGEF1,AIP,ACTB,ABHD17A,ADAR,C12orf10,APRT,APH1A,AFF1,AMIGO2,ABL1,ABHD11,ALDH16A1,AHR,ABCC1,AFF1,AGO2,ARL8B,ADAR,ARPC5L,AP1S3,AZIN1,ADO,CANT1,ADIPOR2,ANKHD1,NUP50,AGPAT1,AMMECR1,ATF2,AFTPH,ABCD4,C3orf38,ACAA2,AZI2,BAZ2A,ANP32B,ACTL6A,BORCS6,CIITA,ANKRD10,ACOT8,ACTR3,ACAA2,ABHD17A,ADAM10,AK1,ANKRD37,ANKRD12,BMI1,AP5B1,ABHD14A,CASZ1,AGK,ADIPOR2,ATXN7L3B,ARL17A,AGO2,ARHGEF3,ADO,AIF1,ABR,C20orf24,DCAF15,HNRNPH2
ARSG,ADI1,CCDC59,ETV6,APTX,AKAP9,ABL1,ANKRD17,ACYP1,ABL1,ANKHD1,AMIGO2,DDX21,ADD3,ANKRD39,ABLIM1,CBFA2T2,ARHGEF12,ARHGEF7,CCL4L2,ACTR6,ABHD13,ACTR5,AGK,ACTR1A,ALOX5AP,ADGRE5,ADD3,ABI1,GATAD2A,ABCD3,ASH1L-AS1,ARL14EP,ACO2,ABRACL,AP2S1,AGPAT4,BOD1,ANKRD36,AGTRAP,ADAM17,CAMK2G,ACBD5,ANXA2R,SDHAF3,ALOX5AP,B3GAT3,ADAM17,CBWD1,ADAP1,ADRM1,ACBD6,ALDOC,ACADM,CYTIP,ACO2,ABRACL,ACO2,ABHD17B,BEX4,APPL2,ATN1,AGPAT5,ACTR5,AP2S1,FNIP1,ASCC3,ALG3,ACTG1,ACAP2,AFF4,C1QBP,ARF4,ATL3,AGO2,ANKRD12,ACBD3,ABHD13,ALDH9A1,AKT2,ABCC10,AHCTF1,ANAPC4,B4GALT5,ADIPOR2,ATP8B4,ARF4,BCAS2,AGK,CD63,AGFG2,ANKRD54,PGRMC1,APEX1,AP3B1,ATG13,AGAP2,ABCF1,CCP110,ACAP2,BECN1,C6orf62,AP1S2,ACTR2,C17orf58,CTSD,ASB8,AGPAT2,ADA,ACADM,ABI1,ADAM17,AKT3,APOL3,ANKRD37,BTBD1,ASAH1,ABHD17A,CCND2,AGPAT3,AGO2,BACH1,ATG5,AHR,ATP7A,AGFG1,AIFM1,ABT1,CDC34,DHRS7B,IFNGR1
ATF1,AK3,CEBPB,FBXL17,ARHGAP26,AMD1,ACOX3,ANKRD36B,ADAM10,ACADM,ANKRD11,AMMECR1,DEK,ADI1,AP1S1,ACBD3,CCDC58,ARID2,ASF1A,CHSY1,ADCY7,ABHD16A,ADSS,AGTRAP,ADAP1,ALYREF,AFTPH,AFF1,ACTR5,MAN1A1,ABCF1,ATP8B4,ARL6IP5,ACSF3,ACAA2,ARF4,AGPAT5,C16orf91,ARHGAP12,ANKRD36,AEBP2,CD7,ACO2,ARHGEF7,SSR3,ANKFY1,BFAR,ADAP1,CDADC1,AKAP13,ADSS,ACOT8,ANKMY2,ACBD6,DNMT3A,ACOX3,ACAA1,ACOT9,ABHD2,C14orf2,ARHGEF6,CALM1,AKAP11,AEBP2,AREG,FOXN3,ATG5,AMN1,ACTL6A,ACOT8,AKAP13,COQ4,ARMC10,ATXN2,AGTRAP,ARF4,ACSL4,ABL1,ALG13,ALDH9A1,ABCE1,ANKRD37,ANKRD46,BTBD7,ADRB2,CCDC9,ARID5B,BCL6,AK3,CDK11B,ANAPC16,APAF1,ZFP36L2,ARHGAP12,APAF1,ATXN2L,AGO4,ACADM,CHRNB1,ACOT9,BOD1L1,CCDC124,ARNT,ADAR,CCNT1,CUL4A,ASPSCR1,AIP,ADD3,ACAP2,ACAT2,ADIPOR2,AMIGO2,ATG2B,ARID3B,CHD9,BIRC3,ABI1,CCT4,AHI1,AKAP13,BBIP1,ATXN7L1,ANKRD12,BCLAF1,AHCTF1,ANKRD36,ACADM,CDK11A,FCRL3,MAGT1
ATG2A,AKTIP,CPT1A,FCHSD2,ARHGEF6,ANKRD12,ACTR8,ANO6,AFTPH,ACBD6,ANKRD17,ANKAR,DR1,AIP,ARFGAP3,ACP1,CHURC1,ATG7,ASXL1,CLIP4,ADPRHL2,ABHD17A,AEBP2,AHNAK,AP3M1,ANGPT2,AGL,AGGF1,ADIPOR2,MTERF4,ABHD17A,ATP9B,ASAH1,ACTB,ACAP2,ARHGAP4,AHR,CAMK2D,ATP6V1H,AP3B1,AES,CDC25B,ACSF3,BCAP31,TAF11,APOL1,BLZF1,ADD1,CEP250,APC,AGGF1,ACOX3,ANKRD54,ACOT2,EIF1AD,ACSS1,ACAP2,ACTL6A,ABLIM1,C17orf75,ARL2BP,CCDC186,AKTIP,AHNAK,ARL5B,GIPC1,B3GAT1,ANAPC5,ACTR2,ACP5,AKAP9,CTSO,ASAH1,ATXN7,ANKLE2,ARHGAP26,ADO,ACBD3,ALKBH3,ANKRD12,ABCF1,ANKRD40,ASB8,C1orf174,AGFG1,CTSC,ARMCX3,BET1,ANAPC16,COPE,ANKLE2,ARSG,,ARHGAP15,APBA3,BARD1,AHCTF1,ACBD6,CKAP5,ACOX3,BTAF1,CD160,ASH1L,AGO2,CCZ1,DCAF7,BORCS5,AKAP8,AK2,ACIN1,ACSL3,AGTPBP1,ANKRD10,BIRC3,ARL3,CHFR,BORCS5,ABL2,CD7,AKAP13,AMD1,BIVM,BTN3A3,ANKRD37,C2orf49,AMIGO2,ANKRD49,ACO2,CIB1,GRPEL1,MAP1LC3A
B4GALT4,ALG5,CYCS,GLTSCR2,ARNTL,AP1S2,ACYP2,ARF4,ALG13,ACTR1A,ANKRD44,ANKRD36B,KLF10,AK3,ARHGAP9,ACSL3,E2F4,CAAP1,ATXN2,CTBS,AGTPBP1,ABHD17B,AIMP1,AIMP1,APOBEC3H,ARHGAP26,ARPP19,AGL,ADNP,MTMR12,ABHD17B,B3GALNT2,ASXL2,ACTG1,ACOT2,ARL5A,AKAP13,CDS2,ATP9B,AP4E1,AGK,COASY,ADAMTS10,BZW1,TCP11L1,APOL2,BRD7,ADGRG1,CERS4,APLP2,AKIRIN2,ACSL4,ANP32A,ACOT8,EXOC4,ACTR3,ACER3,ACTR3,ABRACL,C5orf51,ATP1B3,CDC42EP3,ALG6,AKT2,ATAD2,H2AFZ,BHLHE40,ANKRD10,ACTR3,ACTA2,AKIRIN2,CTSZ,ATF4,BAZ1B,AP3S2,ARL1,ADSS,ACD,AMDHD2,ANKRD49,ABCG1,ANKRD46,ASPSCR1,CCDC88C,AGPAT1,DCTN4,ASAP1,BHLHE40,ANKRD39,COPS7A,AP1S3,C19orf25,,ARHGAP30,ARL17B,BAZ1A,AHR,ACOX1,CNEP1R1,ACTR2,CCDC7,CD2BP2,ATAD1,AGPAT3,CD2BP2,DDX60L,C19orf25,AKTIP,ALG13,ACP1,ACSL4,ALG13,ARF3,BLOC1S2,ASH1L-AS1,DUSP1,BTG1,ACBD5,CDC37L1,AKIRIN1,ANKRD40,CBX4,C1orf52,API5,CALM1,ANO6,ARL1,ACP5,CNST,HDAC4,PHF2
