,mm_res,mm_exh,TF,test,correction,ht_res,ht_exh
mm_res,,3.259665832551739e-08,MYC,Kruskal-Wallis,Dunn,,
mm_exh,,,MYC,Kruskal-Wallis,Dunn,,
mm_res,,1.61572463824539e-07,BACH2,Kruskal-Wallis,Dunn,,
mm_exh,,,BACH2,Kruskal-Wallis,Dunn,,
ht_res,5.424007717148331e-68,3.396885268393969e-150,PRDM1,Kruskal-Wallis,Dunn,,0.6403353818087101
ht_exh,3.143164524982754e-08,3.029047377019198e-17,PRDM1,Kruskal-Wallis,Dunn,,
mm_res,,1.1032315543383559e-16,PRDM1,Kruskal-Wallis,Dunn,,
mm_exh,,,PRDM1,Kruskal-Wallis,Dunn,,
ht_res,4.60861753455763e-26,1.0166140020214075e-48,STAT4,Kruskal-Wallis,Dunn,,0.1054612969263943
ht_exh,2.5087461911402424e-07,6.059752665406706e-11,STAT4,Kruskal-Wallis,Dunn,,
mm_res,,0.00015657045563987224,STAT4,Kruskal-Wallis,Dunn,,
mm_exh,,,STAT4,Kruskal-Wallis,Dunn,,
ht_res,1.277385190901765e-65,1.0186665411388517e-172,ZEB2,Kruskal-Wallis,Dunn,,0.1269303566708648
ht_exh,1.4511896633469981e-05,6.706672052709741e-16,ZEB2,Kruskal-Wallis,Dunn,,
mm_res,,8.76830042929422e-26,ZEB2,Kruskal-Wallis,Dunn,,
mm_exh,,,ZEB2,Kruskal-Wallis,Dunn,,
ht_res,1.5069423381221422e-31,9.196643335421262e-93,EOMES,Kruskal-Wallis,Dunn,,0.47416952545957025
ht_exh,0.0012721473008662336,4.752544912221011e-10,EOMES,Kruskal-Wallis,Dunn,,
mm_res,,6.810656644983368e-17,EOMES,Kruskal-Wallis,Dunn,,
mm_exh,,,EOMES,Kruskal-Wallis,Dunn,,
ht_res,2.436109439240293e-26,6.975286417681075e-54,TBX21,Kruskal-Wallis,Dunn,,0.7142810145398399
ht_exh,0.001363606762634643,1.943728292138549e-06,TBX21,Kruskal-Wallis,Dunn,,
mm_res,,9.31848445666014e-06,TBX21,Kruskal-Wallis,Dunn,,
mm_exh,,,TBX21,Kruskal-Wallis,Dunn,,
ht_res,4.952727944307163e-72,1.8163878934533842e-145,NR3C1,Kruskal-Wallis,Dunn,,0.5134233888798045
ht_exh,7.03398129918214e-12,3.8268466634298214e-21,NR3C1,Kruskal-Wallis,Dunn,,
mm_res,,2.1275339458381302e-13,NR3C1,Kruskal-Wallis,Dunn,,
mm_exh,,,NR3C1,Kruskal-Wallis,Dunn,,
